feature	chromosome	start	end	SLX-17922.D701tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17922.D701tp_D506tp.HC22GBBXY.s_6.r_1	SLX-17921.D711tp_D502tp.H5J55BBXY.s_8.r_1	SLX-17921.D711tp_D503tp.H5J55BBXY.s_8.r_1
12:78000001-78500000	12	78000001	78500000	1.03	1.105	0.938	0.996
12:78500001-79000000	12	78500001	79000000	1.014	0.976	1.085	1.14
12:79000001-79500000	12	79000001	79500000	1.037	1.075	0.927	1.046
12:79500001-80000000	12	79500001	80000000	1.013	0.985	1.075	0.855
12:80000001-80500000	12	80000001	80500000	1.019	1.058	1.049	1.106
12:81000001-81500000	12	81000001	81500000	0.989	0.988	1.047	1.006
12:81500001-82000000	12	81500001	82000000	0.966	1.085	0.953	1.016
12:82000001-82500000	12	82000001	82500000	1.01	1.027	1.017	0.828
12:82500001-83000000	12	82500001	83000000	1.065	0.994	0.917	1.019
12:83000001-83500000	12	83000001	83500000	0.976	0.9	0.962	0.877
12:83500001-84000000	12	83500001	84000000	0.979	0.936	1.035	0.944
12:84000001-84500000	12	84000001	84500000	0.91	0.993	0.941	0.981
12:84500001-85000000	12	84500001	85000000	1	1.02	0.992	1.011
12:85000001-85500000	12	85000001	85500000	1.004	1.041	1.033	1.076
12:85500001-86000000	12	85500001	86000000	1.028	1.063	0.936	0.946
12:86000001-86500000	12	86000001	86500000	1.016	0.969	0.945	0.96
12:86500001-87000000	12	86500001	87000000	1.017	1.036	1.011	1.069
12:87000001-87500000	12	87000001	87500000	0.906	1.034	0.963	0.97
12:87500001-88000000	12	87500001	88000000	1.118	1.042	1.044	1.044
12:88000001-88500000	12	88000001	88500000	0.98	0.972	0.986	1.114
12:88500001-89000000	12	88500001	89000000	0.98	0.94	1.017	1.022
12:89000001-89500000	12	89000001	89500000	1.058	0.908	1.003	0.975
12:89500001-90000000	12	89500001	90000000	0.978	0.967	1.032	0.951
12:90000001-90500000	12	90000001	90500000	0.975	0.984	1.019	1.107
12:90500001-91000000	12	90500001	91000000	1.053	1.071	1.042	0.925
12:91000001-91500000	12	91000001	91500000	1.023	1.004	1.008	1.052
12:91500001-92000000	12	91500001	92000000	1.028	0.987	1.05	0.985
12:92000001-92500000	12	92000001	92500000	0.976	0.951	0.898	1.065
12:92500001-93000000	12	92500001	93000000	0.981	1.031	1.002	1.073
12:93000001-93500000	12	93000001	93500000	0.966	0.948	0.885	0.965
12:93500001-94000000	12	93500001	94000000	0.973	0.976	1.017	1.02
12:94000001-94500000	12	94000001	94500000	1.032	0.955	1.022	1.025
12:94500001-95000000	12	94500001	95000000	0.94	1.01	0.995	0.974
12:95000001-95500000	12	95000001	95500000	0.936	0.987	0.927	0.839
12:95500001-96000000	12	95500001	96000000	0.912	1.028	1.014	0.937
12:96000001-96500000	12	96000001	96500000	0.955	1.015	0.868	1.048
12:96500001-97000000	12	96500001	97000000	1.035	1.08	0.976	1.118
12:97000001-97500000	12	97000001	97500000	1.013	1.048	0.963	1.119
12:97500001-98000000	12	97500001	98000000	1.122	0.994	1.04	1.072
12:98000001-98500000	12	98000001	98500000	1.077	1.065	0.944	1.024
12:98500001-99000000	12	98500001	99000000	0.957	0.966	0.911	0.937
12:99000001-99500000	12	99000001	99500000	1.102	1.033	1.025	0.99
12:99500001-100000000	12	99500001	100000000	1.002	1.024	0.985	0.88
12:100000001-100500000	12	100000001	100500000	0.967	0.993	0.931	0.998
12:100500001-101000000	12	100500001	101000000	1.019	1.04	0.989	1.073
12:101500001-102000000	12	101500001	102000000	0.921	1.028	0.923	0.936
12:102000001-102500000	12	102000001	102500000	1.075	1.087	1.126	1.053
12:102500001-103000000	12	102500001	103000000	1.058	1.032	1.007	1.042
12:103000001-103500000	12	103000001	103500000	1.014	0.945	1.115	1.03
12:103500001-104000000	12	103500001	104000000	1.056	0.97	0.985	1.096
12:104000001-104500000	12	104000001	104500000	1.008	1.043	0.93	1.036
12:104500001-105000000	12	104500001	105000000	1	1.013	0.949	0.957
12:105000001-105500000	12	105000001	105500000	1.023	1.122	1.096	0.984
12:105500001-106000000	12	105500001	106000000	1.113	1.103	1.052	1.114
12:106000001-106500000	12	106000001	106500000	1.047	1.035	0.923	1.006
12:106500001-107000000	12	106500001	107000000	0.976	1.04	1.011	1.097
12:107000001-107500000	12	107000001	107500000	1.001	1.021	0.98	0.993
12:107500001-108000000	12	107500001	108000000	0.97	0.993	0.974	0.981
12:108000001-108500000	12	108000001	108500000	0.971	1.01	1.114	0.954
12:108500001-109000000	12	108500001	109000000	0.93	0.966	0.889	0.923
12:109000001-109500000	12	109000001	109500000	0.959	0.976	0.958	0.963
12:109500001-110000000	12	109500001	110000000	0.987	0.981	0.887	0.874
12:110000001-110500000	12	110000001	110500000	0.938	1.015	0.962	0.94
12:110500001-111000000	12	110500001	111000000	1.052	1.053	0.982	1.028
12:111000001-111500000	12	111000001	111500000	0.927	0.999	0.945	0.997
12:111500001-112000000	12	111500001	112000000	1.132	0.927	0.932	0.982
12:112000001-112500000	12	112000001	112500000	0.983	0.95	0.948	0.887
12:112500001-113000000	12	112500001	113000000	1.066	1.051	1	1.107
12:113000001-113500000	12	113000001	113500000	1.046	1.029	0.969	1.005
12:113500001-114000000	12	113500001	114000000	1.013	1.043	1.029	0.983
12:114000001-114500000	12	114000001	114500000	1.105	1.036	1.116	0.985
12:114500001-115000000	12	114500001	115000000	0.995	0.99	1.026	0.981
12:115000001-115500000	12	115000001	115500000	1.057	1.006	1.08	1.061
12:115500001-116000000	12	115500001	116000000	0.977	0.951	0.971	1.004
12:116000001-116500000	12	116000001	116500000	0.899	1.009	0.908	0.829
12:116500001-117000000	12	116500001	117000000	1.064	1.018	0.999	0.976
12:117000001-117500000	12	117000001	117500000	0.991	0.991	0.971	0.921
12:117500001-118000000	12	117500001	118000000	1.078	1.024	1.003	1.137
12:118000001-118500000	12	118000001	118500000	1.054	0.952	0.898	0.936
12:118500001-119000000	12	118500001	119000000	1.037	1.014	1.086	1.131
12:119000001-119500000	12	119000001	119500000	1.006	0.988	1.034	1.089
12:119500001-120000000	12	119500001	120000000	1.044	1.017	0.984	1.035
12:120000001-120500000	12	120000001	120500000	0.958	0.995	0.977	1.033
12:120500001-121000000	12	120500001	121000000	1.035	0.989	0.992	0.961
12:121000001-121500000	12	121000001	121500000	1.003	0.898	0.934	0.965
12:121500001-122000000	12	121500001	122000000	0.978	0.88	0.971	1.094
12:122000001-122500000	12	122000001	122500000	0.944	1.047	0.929	0.868
12:122500001-123000000	12	122500001	123000000	0.892	0.922	0.941	0.897
12:123500001-124000000	12	123500001	124000000	1.012	0.96	0.931	1.02
12:124000001-124500000	12	124000001	124500000	1.001	0.969	1.012	0.979
12:124500001-125000000	12	124500001	125000000	0.979	0.976	0.962	0.988
12:125000001-125500000	12	125000001	125500000	1.058	0.996	1.046	1.037
12:125500001-126000000	12	125500001	126000000	1.039	1.05	0.963	0.959
12:126000001-126500000	12	126000001	126500000	0.984	1.027	1.057	0.973
12:127000001-127500000	12	127000001	127500000	0.954	0.962	0.94	0.972
12:127500001-128000000	12	127500001	128000000	0.968	0.985	0.946	0.956
12:128000001-128500000	12	128000001	128500000	0.953	1.027	1.058	1.034
12:128500001-129000000	12	128500001	129000000	1.064	0.981	0.977	1.034
12:129000001-129500000	12	129000001	129500000	0.999	1.055	1.111	0.972
12:129500001-130000000	12	129500001	130000000	1.045	0.997	0.892	0.938
12:130500001-131000000	12	130500001	131000000	0.944	0.983	0.991	0.97
12:131000001-131500000	12	131000001	131500000	1.052	1.003	1.099	1.07
12:131500001-132000000	12	131500001	132000000	1.037	0.959	1.013	1.015
12:132000001-132500000	12	132000001	132500000	1.01	1.015	1.086	1.049
12:132500001-133000000	12	132500001	133000000	0.946	1.068	0.927	1.008
12:133000001-133275309	12	133000001	133275309	0.986	0.891	0.9	0.993
13:20000001-20500000	13	20000001	20500000	0.95	1.02	0.99	0.99
13:20500001-21000000	13	20500001	21000000	0.913	0.969	0.907	0.914
13:21500001-22000000	13	21500001	22000000	0.998	1.057	1.04	0.975
13:22000001-22500000	13	22000001	22500000	1.052	0.916	1.021	1.025
13:22500001-23000000	13	22500001	23000000	0.97	0.964	0.926	0.904
13:23000001-23500000	13	23000001	23500000	1.049	1.002	1.018	1.008
13:23500001-24000000	13	23500001	24000000	1.03	1.017	0.951	1.014
13:24000001-24500000	13	24000001	24500000	0.973	0.987	0.955	0.888
13:24500001-25000000	13	24500001	25000000	1.078	0.984	1.025	1.059
13:25000001-25500000	13	25000001	25500000	0.961	0.932	1.007	0.996
13:26000001-26500000	13	26000001	26500000	0.965	0.968	0.992	0.985
13:26500001-27000000	13	26500001	27000000	0.986	0.935	0.991	1.018
13:27000001-27500000	13	27000001	27500000	0.973	0.993	0.936	0.989
13:27500001-28000000	13	27500001	28000000	1.006	0.996	0.91	1.039
13:28000001-28500000	13	28000001	28500000	0.946	0.961	0.916	0.937
13:28500001-29000000	13	28500001	29000000	1.045	1.002	1.01	1.102
13:29000001-29500000	13	29000001	29500000	0.91	1.062	1.097	1.108
13:29500001-30000000	13	29500001	30000000	0.976	0.999	0.981	0.924
13:30000001-30500000	13	30000001	30500000	1.013	0.976	0.9	1.034
13:30500001-31000000	13	30500001	31000000	0.976	0.962	0.976	0.985
13:31000001-31500000	13	31000001	31500000	1.018	1.025	0.994	1.09
13:32000001-32500000	13	32000001	32500000	0.988	1.042	0.966	0.986
13:32500001-33000000	13	32500001	33000000	0.949	1.035	0.983	0.94
13:33000001-33500000	13	33000001	33500000	1.074	1.062	1.03	1.063
13:34000001-34500000	13	34000001	34500000	1.019	0.996	0.994	0.921
13:34500001-35000000	13	34500001	35000000	0.967	1.034	0.996	0.93
13:35000001-35500000	13	35000001	35500000	1.027	1.021	1.063	1.036
13:35500001-36000000	13	35500001	36000000	1.004	1.001	1.013	0.92
13:36500001-37000000	13	36500001	37000000	0.957	0.968	1.017	1.003
13:37000001-37500000	13	37000001	37500000	0.939	0.903	0.973	0.95
13:37500001-38000000	13	37500001	38000000	0.974	0.988	1.071	1.061
13:38000001-38500000	13	38000001	38500000	0.99	0.962	0.987	1.019
13:38500001-39000000	13	38500001	39000000	1.013	1.027	0.964	1.009
13:39000001-39500000	13	39000001	39500000	0.993	1.01	0.986	1.022
13:39500001-40000000	13	39500001	40000000	0.992	0.977	0.977	1.084
13:40000001-40500000	13	40000001	40500000	1.019	1.015	1.122	0.955
13:41000001-41500000	13	41000001	41500000	0.957	0.964	0.878	0.953
13:41500001-42000000	13	41500001	42000000	0.992	1.035	1.04	0.947
13:42000001-42500000	13	42000001	42500000	1.01	1.025	0.96	0.93
13:42500001-43000000	13	42500001	43000000	1.051	0.966	1.021	0.985
13:43000001-43500000	13	43000001	43500000	0.959	1.033	1.082	0.892
13:43500001-44000000	13	43500001	44000000	1.021	1.131	0.984	0.977
13:44000001-44500000	13	44000001	44500000	0.977	0.961	1.041	0.897
13:44500001-45000000	13	44500001	45000000	1.003	1.043	1.052	1.085
13:45000001-45500000	13	45000001	45500000	0.997	0.871	0.936	0.936
13:45500001-46000000	13	45500001	46000000	1.124	1.125	1.055	1.158
13:46000001-46500000	13	46000001	46500000	0.945	1.015	0.97	1.067
13:46500001-47000000	13	46500001	47000000	0.948	0.992	0.982	1.101
13:47000001-47500000	13	47000001	47500000	1.032	1.022	1.095	0.999
13:47500001-48000000	13	47500001	48000000	1.025	1.073	1.035	0.939
13:48000001-48500000	13	48000001	48500000	0.951	0.955	0.903	0.928
13:48500001-49000000	13	48500001	49000000	1.027	0.919	1.032	0.858
13:49000001-49500000	13	49000001	49500000	1.004	0.942	0.96	0.924
13:49500001-50000000	13	49500001	50000000	0.97	0.935	1.006	1.025
13:50000001-50500000	13	50000001	50500000	0.992	1.019	0.926	0.962
13:50500001-51000000	13	50500001	51000000	1.002	1.038	1.021	1.081
13:51000001-51500000	13	51000001	51500000	0.986	1.07	0.967	1
13:51500001-52000000	13	51500001	52000000	0.958	0.983	0.989	1.09
13:52500001-53000000	13	52500001	53000000	0.942	1.072	1.028	1.119
13:53000001-53500000	13	53000001	53500000	1.022	1.033	0.965	1.06
13:54000001-54500000	13	54000001	54500000	1.002	0.844	0.983	1.064
13:54500001-55000000	13	54500001	55000000	0.906	0.985	0.953	0.993
13:55000001-55500000	13	55000001	55500000	0.926	0.999	1.042	1.085
13:56000001-56500000	13	56000001	56500000	0.941	0.947	1.024	0.993
13:57000001-57500000	13	57000001	57500000	0.996	0.958	0.907	0.974
13:57500001-58000000	13	57500001	58000000	1.003	1.018	0.996	0.981
13:58000001-58500000	13	58000001	58500000	0.98	0.975	1.048	0.927
13:58500001-59000000	13	58500001	59000000	0.947	1.031	0.904	0.947
13:59000001-59500000	13	59000001	59500000	1.005	1.015	0.971	1.027
13:59500001-60000000	13	59500001	60000000	1.005	1.064	1.041	1.06
13:60000001-60500000	13	60000001	60500000	1.018	1.034	0.951	0.965
13:60500001-61000000	13	60500001	61000000	0.987	0.921	0.985	0.957
13:61000001-61500000	13	61000001	61500000	0.932	0.978	0.891	1.008
13:61500001-62000000	13	61500001	62000000	0.951	1.021	1.003	1.027
13:62000001-62500000	13	62000001	62500000	1.011	0.981	0.973	0.927
13:62500001-63000000	13	62500001	63000000	1.057	0.933	0.931	0.932
13:63000001-63500000	13	63000001	63500000	0.958	0.932	0.981	0.879
13:63500001-64000000	13	63500001	64000000	0.95	0.876	0.881	0.887
13:64000001-64500000	13	64000001	64500000	0.961	0.978	0.997	0.989
13:64500001-65000000	13	64500001	65000000	1.004	1.022	0.948	1.026
13:65000001-65500000	13	65000001	65500000	0.979	0.983	0.968	1.049
13:65500001-66000000	13	65500001	66000000	0.985	0.986	0.935	1.055
13:66000001-66500000	13	66000001	66500000	1.084	0.986	0.93	0.989
13:66500001-67000000	13	66500001	67000000	0.991	1.002	0.916	0.951
13:67000001-67500000	13	67000001	67500000	0.989	1.109	0.918	0.924
13:67500001-68000000	13	67500001	68000000	1.007	0.976	1.064	0.978
13:68000001-68500000	13	68000001	68500000	1.027	0.993	0.984	1.036
13:68500001-69000000	13	68500001	69000000	1.016	0.958	0.93	0.937
13:69000001-69500000	13	69000001	69500000	0.963	0.929	0.964	1.016
13:69500001-70000000	13	69500001	70000000	1.002	0.91	0.9	0.993
13:70000001-70500000	13	70000001	70500000	0.928	0.999	0.965	0.899
13:70500001-71000000	13	70500001	71000000	1.014	0.985	0.973	0.856
13:71000001-71500000	13	71000001	71500000	1.055	1.035	1.04	0.978
13:71500001-72000000	13	71500001	72000000	0.972	1.057	0.954	1.026
13:72500001-73000000	13	72500001	73000000	0.953	1.078	0.947	0.982
13:73000001-73500000	13	73000001	73500000	0.993	0.947	0.985	0.96
13:73500001-74000000	13	73500001	74000000	1.014	1.104	0.974	0.993
13:74000001-74500000	13	74000001	74500000	0.964	1.033	0.999	0.955
13:74500001-75000000	13	74500001	75000000	1.013	1.029	1.079	1.044
13:75000001-75500000	13	75000001	75500000	0.947	1.015	0.872	0.957
13:76000001-76500000	13	76000001	76500000	1.022	0.999	1.016	0.983
13:76500001-77000000	13	76500001	77000000	0.933	1.016	0.912	1.034
13:77000001-77500000	13	77000001	77500000	0.964	1.06	0.899	1.013
13:77500001-78000000	13	77500001	78000000	1.034	1.056	1.086	1.068
13:78000001-78500000	13	78000001	78500000	1.002	1.09	0.955	1.039
13:78500001-79000000	13	78500001	79000000	0.943	1.104	1.082	1.071
13:79000001-79500000	13	79000001	79500000	0.967	1.039	0.985	1.135
13:79500001-80000000	13	79500001	80000000	1.054	1.043	0.973	0.887
13:80000001-80500000	13	80000001	80500000	1.001	1.005	0.982	0.987
13:80500001-81000000	13	80500001	81000000	0.993	0.963	1.025	0.945
13:81000001-81500000	13	81000001	81500000	1.021	0.997	1.074	0.886
13:81500001-82000000	13	81500001	82000000	0.973	0.889	0.87	0.905
13:82000001-82500000	13	82000001	82500000	1.08	0.964	0.828	0.95
13:82500001-83000000	13	82500001	83000000	0.967	0.913	0.987	0.892
13:83000001-83500000	13	83000001	83500000	1.011	1.003	0.879	0.934
13:84000001-84500000	13	84000001	84500000	0.978	1.001	1.043	0.946
13:85000001-85500000	13	85000001	85500000	0.897	0.914	0.925	0.911
13:85500001-86000000	13	85500001	86000000	0.917	0.985	0.966	1.017
13:86000001-86500000	13	86000001	86500000	0.937	0.986	0.884	0.974
13:86500001-87000000	13	86500001	87000000	0.964	0.941	0.931	0.956
13:87000001-87500000	13	87000001	87500000	0.925	0.957	0.923	1.067
13:87500001-88000000	13	87500001	88000000	0.979	1.03	1.042	0.946
13:88500001-89000000	13	88500001	89000000	0.96	1.012	0.912	0.989
13:89000001-89500000	13	89000001	89500000	0.976	1	0.94	1.099
13:89500001-90000000	13	89500001	90000000	0.991	0.923	0.998	0.994
13:90000001-90500000	13	90000001	90500000	0.915	0.956	0.911	0.98
13:90500001-91000000	13	90500001	91000000	1.033	1.054	0.925	1.002
13:91000001-91500000	13	91000001	91500000	0.995	0.968	1.001	1
13:91500001-92000000	13	91500001	92000000	0.958	1.038	0.999	0.989
13:92000001-92500000	13	92000001	92500000	1.04	1.016	0.939	0.967
13:92500001-93000000	13	92500001	93000000	1.005	1.006	1.011	1.055
13:93000001-93500000	13	93000001	93500000	0.993	0.986	1.05	0.93
13:93500001-94000000	13	93500001	94000000	1.035	1.055	0.971	0.99
13:94000001-94500000	13	94000001	94500000	1.063	0.988	0.967	0.984
13:94500001-95000000	13	94500001	95000000	1.052	0.949	1.031	1.181
13:95000001-95500000	13	95000001	95500000	1.036	1.041	1.006	1.028
13:96000001-96500000	13	96000001	96500000	1.082	1.03	1.046	1.015
13:96500001-97000000	13	96500001	97000000	0.968	0.997	0.989	1.021
13:97000001-97500000	13	97000001	97500000	1.045	0.965	1.066	0.96
13:97500001-98000000	13	97500001	98000000	1.073	0.981	1.057	1.085
13:98000001-98500000	13	98000001	98500000	0.944	0.979	1.069	0.952
13:98500001-99000000	13	98500001	99000000	0.98	1.003	0.961	0.881
13:99000001-99500000	13	99000001	99500000	0.921	1.007	0.995	0.949
13:99500001-100000000	13	99500001	100000000	1.01	1.037	0.923	0.917
13:100000001-100500000	13	100000001	100500000	1.027	0.985	0.887	0.984
13:100500001-101000000	13	100500001	101000000	0.953	0.995	1.029	1.057
13:101000001-101500000	13	101000001	101500000	1.04	0.999	0.942	1.043
13:101500001-102000000	13	101500001	102000000	1.018	1.063	1.027	1.091
13:102000001-102500000	13	102000001	102500000	0.964	0.992	1.013	0.956
13:102500001-103000000	13	102500001	103000000	0.961	0.983	0.935	0.994
13:103000001-103500000	13	103000001	103500000	0.992	0.932	0.931	1.027
13:103500001-104000000	13	103500001	104000000	0.995	0.941	0.973	0.977
13:104000001-104500000	13	104000001	104500000	0.974	1.015	0.938	0.975
13:104500001-105000000	13	104500001	105000000	1.016	0.947	0.938	0.875
13:105500001-106000000	13	105500001	106000000	0.979	0.915	1.074	0.937
13:106000001-106500000	13	106000001	106500000	0.951	0.984	1.006	0.967
13:106500001-107000000	13	106500001	107000000	1.09	1.005	1.024	0.992
13:107500001-108000000	13	107500001	108000000	0.957	0.884	0.947	1.015
13:108000001-108500000	13	108000001	108500000	0.979	0.93	0.906	0.902
13:108500001-109000000	13	108500001	109000000	0.96	1.039	0.997	0.998
13:109500001-110000000	13	109500001	110000000	0.929	0.918	1.031	0.934
13:110000001-110500000	13	110000001	110500000	1.025	1.036	1.009	0.971
13:110500001-111000000	13	110500001	111000000	0.914	0.964	0.881	0.869
13:111000001-111500000	13	111000001	111500000	0.949	0.957	0.978	1.035
13:112000001-112500000	13	112000001	112500000	1.182	0.959	1.049	0.973
13:112500001-113000000	13	112500001	113000000	0.925	1.046	0.882	0.907
13:113000001-113500000	13	113000001	113500000	0.99	0.949	0.882	0.858
13:113500001-114000000	13	113500001	114000000	0.967	1.031	1.017	1.007
13:114000001-114364328	13	114000001	114364328	0.977	1.051	0.869	0.929
14:20000001-20500000	14	20000001	20500000	1.003	0.965	1.038	1.034
14:20500001-21000000	14	20500001	21000000	1.005	0.979	1.051	1.043
14:21000001-21500000	14	21000001	21500000	0.95	0.887	0.94	0.952
14:21500001-22000000	14	21500001	22000000	1.02	0.954	1.089	1.125
14:22000001-22500000	14	22000001	22500000	1.092	1.066	1.079	1.167
14:22500001-23000000	14	22500001	23000000	1.058	1.024	1.098	1.146
14:23500001-24000000	14	23500001	24000000	1.097	1.096	1.127	1.141
14:24000001-24500000	14	24000001	24500000	1.026	1.002	1.067	1.037
14:24500001-25000000	14	24500001	25000000	1.066	1.117	1.112	1.14
14:25000001-25500000	14	25000001	25500000	1.066	1.074	1.095	1.161
14:25500001-26000000	14	25500001	26000000	1.044	1.095	1.02	1.175
14:26000001-26500000	14	26000001	26500000	0.982	1.028	1.03	1.06
14:26500001-27000000	14	26500001	27000000	0.959	1.057	1.035	1.143
14:27000001-27500000	14	27000001	27500000	1	1.006	1.074	1.118
14:27500001-28000000	14	27500001	28000000	1.015	1.012	1.021	0.97
14:28000001-28500000	14	28000001	28500000	0.979	0.994	1.01	1.135
14:28500001-29000000	14	28500001	29000000	1.012	0.975	1.047	1.041
14:29000001-29500000	14	29000001	29500000	1.032	0.955	1.078	0.969
14:29500001-30000000	14	29500001	30000000	1.021	1.003	0.98	1.005
14:30000001-30500000	14	30000001	30500000	0.972	1.066	1.136	1.209
14:30500001-31000000	14	30500001	31000000	1.033	0.988	0.947	0.997
14:31000001-31500000	14	31000001	31500000	0.891	0.967	0.921	0.955
14:31500001-32000000	14	31500001	32000000	1.08	1.044	1.113	1.117
14:32500001-33000000	14	32500001	33000000	1.005	0.942	1.07	1.016
14:33000001-33500000	14	33000001	33500000	1.006	1.085	1.046	1.088
14:33500001-34000000	14	33500001	34000000	1.027	1.11	1.098	1.069
14:34000001-34500000	14	34000001	34500000	0.999	1.069	1.076	1.016
14:35000001-35500000	14	35000001	35500000	0.947	0.978	0.959	0.949
14:35500001-36000000	14	35500001	36000000	0.948	1.003	1.022	1.039
14:36000001-36500000	14	36000001	36500000	1.045	1.063	1.163	1.174
14:36500001-37000000	14	36500001	37000000	1.009	1.008	1.027	1.017
14:37500001-38000000	14	37500001	38000000	0.998	1.012	0.999	0.973
14:38000001-38500000	14	38000001	38500000	0.988	0.98	0.939	1.12
14:38500001-39000000	14	38500001	39000000	1.026	1.02	1	1.101
14:39000001-39500000	14	39000001	39500000	1.009	0.97	0.968	0.922
14:39500001-40000000	14	39500001	40000000	1.085	1.058	1.166	1.148
14:40000001-40500000	14	40000001	40500000	0.919	0.929	1.001	1.192
14:41000001-41500000	14	41000001	41500000	0.886	0.957	0.97	1.009
14:41500001-42000000	14	41500001	42000000	0.962	1.054	0.994	1.128
14:42000001-42500000	14	42000001	42500000	0.999	0.865	0.921	1.058
14:42500001-43000000	14	42500001	43000000	0.958	1.036	1.005	1.039
14:43500001-44000000	14	43500001	44000000	0.899	0.989	0.988	1.014
14:44000001-44500000	14	44000001	44500000	1.02	0.99	1.044	0.989
14:44500001-45000000	14	44500001	45000000	0.969	1.009	1.038	1.108
14:45500001-46000000	14	45500001	46000000	0.974	0.947	1.037	1.066
14:47000001-47500000	14	47000001	47500000	1.044	1.004	1.139	1.016
14:47500001-48000000	14	47500001	48000000	1.04	0.946	1.031	1.044
14:48000001-48500000	14	48000001	48500000	1.057	0.977	1.05	1.018
14:48500001-49000000	14	48500001	49000000	0.964	0.972	1.066	1.045
14:49000001-49500000	14	49000001	49500000	1.018	0.97	1.072	1.12
14:49500001-50000000	14	49500001	50000000	0.905	0.948	1	0.937
14:50000001-50500000	14	50000001	50500000	1.002	0.915	0.903	0.949
14:50500001-51000000	14	50500001	51000000	1.034	0.913	0.978	0.874
14:51000001-51500000	14	51000001	51500000	1	1.028	1.018	1.148
14:52000001-52500000	14	52000001	52500000	1.026	1.088	1.022	1.086
14:52500001-53000000	14	52500001	53000000	1.021	0.886	0.948	1.019
14:53000001-53500000	14	53000001	53500000	1.03	1.109	1.08	0.987
14:53500001-54000000	14	53500001	54000000	0.995	1.098	1.075	1.002
14:54000001-54500000	14	54000001	54500000	0.953	0.97	1.08	1.082
14:54500001-55000000	14	54500001	55000000	1.01	1.093	0.991	0.977
14:55000001-55500000	14	55000001	55500000	0.949	1.03	0.962	0.988
14:55500001-56000000	14	55500001	56000000	0.947	1.012	1.101	0.952
14:56000001-56500000	14	56000001	56500000	1.059	1.012	0.974	1.093
14:56500001-57000000	14	56500001	57000000	0.947	0.973	0.985	1.016
14:57000001-57500000	14	57000001	57500000	1.05	1.03	1.064	1.087
14:57500001-58000000	14	57500001	58000000	1.013	1.149	1.088	1.104
14:58000001-58500000	14	58000001	58500000	1.094	0.992	0.998	0.915
14:58500001-59000000	14	58500001	59000000	0.993	0.996	1.021	0.993
14:59000001-59500000	14	59000001	59500000	1.027	1.037	0.996	1.05
14:59500001-60000000	14	59500001	60000000	1.063	1.136	1.156	1.052
14:60000001-60500000	14	60000001	60500000	1.056	0.971	1.032	1.046
14:60500001-61000000	14	60500001	61000000	1.002	0.988	1.016	1.003
14:61000001-61500000	14	61000001	61500000	1.001	0.992	0.976	1.062
14:61500001-62000000	14	61500001	62000000	0.995	0.976	0.981	1.018
14:62000001-62500000	14	62000001	62500000	1.037	1.061	1.084	1.147
14:62500001-63000000	14	62500001	63000000	0.955	1.036	0.983	1.109
14:63000001-63500000	14	63000001	63500000	0.961	0.975	0.97	1.019
14:63500001-64000000	14	63500001	64000000	1.05	0.944	1.044	1
14:64000001-64500000	14	64000001	64500000	1.002	0.97	1.053	1.03
14:64500001-65000000	14	64500001	65000000	0.995	0.997	1.004	1.001
14:65000001-65500000	14	65000001	65500000	0.945	1.043	0.92	0.878
14:65500001-66000000	14	65500001	66000000	1.001	1.041	0.966	0.954
14:66000001-66500000	14	66000001	66500000	1.072	1.148	1.12	1.187
14:66500001-67000000	14	66500001	67000000	1.015	1.03	0.959	1.003
14:67000001-67500000	14	67000001	67500000	1.024	1.037	1.017	1.068
14:67500001-68000000	14	67500001	68000000	1.033	0.966	0.968	0.958
14:68000001-68500000	14	68000001	68500000	0.955	1.06	1.002	1.015
14:68500001-69000000	14	68500001	69000000	0.947	0.906	0.901	0.985
14:69000001-69500000	14	69000001	69500000	0.979	0.985	1.03	0.939
14:69500001-70000000	14	69500001	70000000	0.982	1.042	0.955	1.05
14:70000001-70500000	14	70000001	70500000	1.01	1.066	1.028	1.074
14:70500001-71000000	14	70500001	71000000	1.048	0.971	1.033	0.988
14:71000001-71500000	14	71000001	71500000	1	1.02	1.009	0.989
14:71500001-72000000	14	71500001	72000000	1.002	1.07	1.122	0.967
14:72000001-72500000	14	72000001	72500000	1.029	1.014	1.014	1.117
14:72500001-73000000	14	72500001	73000000	1.004	1.026	0.964	0.967
14:73000001-73500000	14	73000001	73500000	0.949	0.963	0.931	0.97
14:73500001-74000000	14	73500001	74000000	0.945	0.945	0.814	0.986
14:74000001-74500000	14	74000001	74500000	1.036	1.077	1.05	1.093
14:74500001-75000000	14	74500001	75000000	1.034	0.946	1.087	0.976
14:75000001-75500000	14	75000001	75500000	0.921	0.88	0.981	1.051
14:75500001-76000000	14	75500001	76000000	0.943	1.005	1.049	0.967
14:76000001-76500000	14	76000001	76500000	1.001	1.005	0.946	0.915
14:76500001-77000000	14	76500001	77000000	1.07	0.987	1.107	1.124
14:77000001-77500000	14	77000001	77500000	1.01	1.074	1.007	1.089
14:77500001-78000000	14	77500001	78000000	0.939	1.026	1.004	0.907
14:78000001-78500000	14	78000001	78500000	1.047	1.021	1.1	1.039
14:78500001-79000000	14	78500001	79000000	1.037	1.034	1.102	1.207
14:79000001-79500000	14	79000001	79500000	1.016	1.111	1.107	1.087
14:79500001-80000000	14	79500001	80000000	1.054	1.014	1.036	1.08
