feature	chromosome	start	end	SLX-17921.D703tp_D508tp.H5J55BBXY.s_8.r_1	SLX-17921.D704tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17921.D704tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D705tp_D501tp.HC22VBBXY.s_3.r_1
3:183000001-183500000	3	183000001	183500000	1.077	1.05	0.97	1.336
3:183500001-184000000	3	183500001	184000000	1.028	0.943	0.929	1.161
3:184000001-184500000	3	184000001	184500000	1.03	1.078	1.087	1.234
3:184500001-185000000	3	184500001	185000000	1.046	0.991	1.008	1.172
3:185000001-185500000	3	185000001	185500000	1.064	1.101	1.024	1.209
3:185500001-186000000	3	185500001	186000000	1.082	0.981	1.005	1.133
3:186000001-186500000	3	186000001	186500000	0.933	0.926	1.01	1.374
3:186500001-187000000	3	186500001	187000000	1.043	0.961	0.998	1.333
3:187000001-187500000	3	187000001	187500000	0.987	0.911	1.143	1.224
3:187500001-188000000	3	187500001	188000000	1.03	1.014	0.991	1.251
3:188000001-188500000	3	188000001	188500000	1.12	0.992	1.094	1.218
3:188500001-189000000	3	188500001	189000000	1.028	0.998	0.877	1.167
3:189000001-189500000	3	189000001	189500000	1.075	1.029	1.06	1.2
3:189500001-190000000	3	189500001	190000000	0.999	1.003	1.047	1.171
3:190000001-190500000	3	190000001	190500000	1.065	1.034	1.125	1.296
3:190500001-191000000	3	190500001	191000000	1.033	0.967	1.095	1.215
3:191000001-191500000	3	191000001	191500000	0.987	0.837	0.969	1.25
3:191500001-192000000	3	191500001	192000000	0.899	0.923	0.945	1.325
3:192000001-192500000	3	192000001	192500000	1.123	0.953	1.026	1.252
3:193000001-193500000	3	193000001	193500000	1.146	0.969	0.938	1.162
3:193500001-194000000	3	193500001	194000000	1.08	0.94	0.994	1.121
3:194000001-194500000	3	194000001	194500000	0.996	0.992	0.961	1.083
3:194500001-195000000	3	194500001	195000000	1.067	1.036	1.018	1.091
3:195000001-195500000	3	195000001	195500000	1.063	1.05	0.921	1.241
3:196000001-196500000	3	196000001	196500000	1.021	0.993	0.9	1.039
3:196500001-197000000	3	196500001	197000000	0.95	0.839	0.903	1.25
3:197000001-197500000	3	197000001	197500000	1.047	0.949	1.085	1.271
3:197500001-198000000	3	197500001	198000000	1.108	1.001	1.019	1.217
4:500001-1000000	4	500001	1000000	0.986	0.972	0.973	0.999
4:1000001-1500000	4	1000001	1500000	0.935	1.053	0.867	0.862
4:1500001-2000000	4	1500001	2000000	0.872	1.01	1.03	1.018
4:2000001-2500000	4	2000001	2500000	1.017	0.962	0.965	1.023
4:2500001-3000000	4	2500001	3000000	0.968	0.852	0.998	1.013
4:3000001-3500000	4	3000001	3500000	0.94	1.023	0.982	1.013
4:4500001-5000000	4	4500001	5000000	1.048	0.939	1.068	1.097
4:5500001-6000000	4	5500001	6000000	1.087	1.018	1.082	1.164
4:6000001-6500000	4	6000001	6500000	0.966	1.04	1.013	1.091
4:6500001-7000000	4	6500001	7000000	1.02	1.042	1.071	1.004
4:7000001-7500000	4	7000001	7500000	0.99	1.051	0.979	0.977
4:7500001-8000000	4	7500001	8000000	1.032	1.039	0.957	0.989
4:8000001-8500000	4	8000001	8500000	0.997	0.892	1.036	1.013
4:8500001-9000000	4	8500001	9000000	1.169	1.098	1.175	1.157
4:10000001-10500000	4	10000001	10500000	0.818	0.935	0.923	0.843
4:10500001-11000000	4	10500001	11000000	1.058	0.997	1.029	1.031
4:11000001-11500000	4	11000001	11500000	1.066	1.123	1.057	1.168
4:11500001-12000000	4	11500001	12000000	1.023	0.996	1.041	1.066
4:12000001-12500000	4	12000001	12500000	1.075	0.995	0.996	1.061
4:13000001-13500000	4	13000001	13500000	0.972	1.042	0.999	1.046
4:13500001-14000000	4	13500001	14000000	0.966	1.058	0.918	1.148
4:14000001-14500000	4	14000001	14500000	1.01	1.145	1.114	1.149
4:15000001-15500000	4	15000001	15500000	0.971	1.021	1.058	1.005
4:15500001-16000000	4	15500001	16000000	0.971	1.012	0.945	0.807
4:16000001-16500000	4	16000001	16500000	1.025	1.025	1.049	1.121
4:16500001-17000000	4	16500001	17000000	1.027	1.047	1.057	1.027
4:17500001-18000000	4	17500001	18000000	0.925	1.058	0.966	0.956
4:18000001-18500000	4	18000001	18500000	0.943	0.982	1.023	1.15
4:19000001-19500000	4	19000001	19500000	0.997	1.017	1.005	1.072
4:19500001-20000000	4	19500001	20000000	0.898	1.007	1.007	1.052
4:20000001-20500000	4	20000001	20500000	0.967	0.94	1.027	0.972
4:20500001-21000000	4	20500001	21000000	1.056	1.048	0.992	1.025
4:21000001-21500000	4	21000001	21500000	0.979	0.982	0.923	0.992
4:21500001-22000000	4	21500001	22000000	1.077	0.964	0.927	0.987
4:22000001-22500000	4	22000001	22500000	1.066	1.012	1.008	1.021
4:23000001-23500000	4	23000001	23500000	1.015	1.022	1.101	0.975
4:23500001-24000000	4	23500001	24000000	1.013	1.015	1.046	1.015
4:24000001-24500000	4	24000001	24500000	1.015	0.984	1.04	1.046
4:24500001-25000000	4	24500001	25000000	1.027	0.971	0.942	0.978
4:25000001-25500000	4	25000001	25500000	1.031	0.986	0.919	0.87
4:26000001-26500000	4	26000001	26500000	1.008	0.984	0.95	1.082
4:26500001-27000000	4	26500001	27000000	1.004	1.012	0.98	0.96
4:27000001-27500000	4	27000001	27500000	0.965	0.97	1.033	1.048
4:28000001-28500000	4	28000001	28500000	0.963	0.927	0.923	0.992
4:28500001-29000000	4	28500001	29000000	0.962	0.932	0.994	0.921
4:29000001-29500000	4	29000001	29500000	1.06	1.082	0.956	1.078
4:29500001-30000000	4	29500001	30000000	1.009	1.013	0.964	1.031
4:30000001-30500000	4	30000001	30500000	1.037	0.934	0.982	1.009
4:31000001-31500000	4	31000001	31500000	0.961	1.016	0.97	0.984
4:31500001-32000000	4	31500001	32000000	0.898	0.982	0.936	1.014
4:32500001-33000000	4	32500001	33000000	1.019	0.952	1.025	1.024
4:33000001-33500000	4	33000001	33500000	0.971	0.992	0.989	0.954
4:33500001-34000000	4	33500001	34000000	0.985	0.921	1.01	0.974
4:34000001-34500000	4	34000001	34500000	0.896	0.912	0.926	1.007
4:34500001-35000000	4	34500001	35000000	0.956	0.987	0.928	1.015
4:35000001-35500000	4	35000001	35500000	0.973	0.97	1.001	0.958
4:35500001-36000000	4	35500001	36000000	0.995	0.986	1.001	0.987
4:36000001-36500000	4	36000001	36500000	1.049	0.987	1.004	1.001
4:36500001-37000000	4	36500001	37000000	0.989	0.961	0.97	0.845
4:37000001-37500000	4	37000001	37500000	1.076	0.993	1.068	1.057
4:37500001-38000000	4	37500001	38000000	1.021	1.015	1.021	0.986
4:38000001-38500000	4	38000001	38500000	1.08	1.051	0.952	1.027
4:38500001-39000000	4	38500001	39000000	0.958	0.942	0.974	0.871
4:39000001-39500000	4	39000001	39500000	0.942	0.944	0.94	0.942
4:39500001-40000000	4	39500001	40000000	0.888	0.894	0.937	0.935
4:40000001-40500000	4	40000001	40500000	1.01	0.908	0.994	0.961
4:40500001-41000000	4	40500001	41000000	1.104	0.949	1.125	0.982
4:41500001-42000000	4	41500001	42000000	0.988	0.98	1.018	1.146
4:42000001-42500000	4	42000001	42500000	1.042	0.961	1.066	1.287
4:42500001-43000000	4	42500001	43000000	0.88	1.041	1.034	1.002
4:43000001-43500000	4	43000001	43500000	1.031	1.023	0.954	0.99
4:43500001-44000000	4	43500001	44000000	0.997	1.013	1.069	1.043
4:44000001-44500000	4	44000001	44500000	0.977	0.977	1.01	1.058
4:44500001-45000000	4	44500001	45000000	0.998	1.031	0.92	1.012
4:45000001-45500000	4	45000001	45500000	0.9	0.981	1.02	1.026
4:45500001-46000000	4	45500001	46000000	0.971	0.923	1.006	0.898
4:46000001-46500000	4	46000001	46500000	0.991	1.03	0.988	1.144
4:46500001-47000000	4	46500001	47000000	1.053	1.032	1.108	1.134
4:47000001-47500000	4	47000001	47500000	1.023	1.124	1.032	1.095
4:48000001-48500000	4	48000001	48500000	1.065	0.973	1.008	0.954
4:48500001-49000000	4	48500001	49000000	0.968	0.891	0.953	0.911
4:52000001-52500000	4	52000001	52500000	1.133	1.053	1.115	0.983
4:52500001-53000000	4	52500001	53000000	1.254	1.055	1.087	0.964
4:53000001-53500000	4	53000001	53500000	1.083	1.072	1.108	0.86
4:53500001-54000000	4	53500001	54000000	0.981	1.09	1.186	0.915
4:54000001-54500000	4	54000001	54500000	1.032	1.013	0.926	0.906
4:54500001-55000000	4	54500001	55000000	1.042	1.076	1.057	1.013
4:55500001-56000000	4	55500001	56000000	0.974	1.03	0.933	0.99
4:56000001-56500000	4	56000001	56500000	1.071	0.971	1.069	0.834
4:56500001-57000000	4	56500001	57000000	1.025	1.071	0.929	0.944
4:57000001-57500000	4	57000001	57500000	0.993	0.999	0.997	1.014
4:57500001-58000000	4	57500001	58000000	1.081	1.097	1.106	0.961
4:58000001-58500000	4	58000001	58500000	0.9	1.097	0.939	0.943
4:58500001-59000000	4	58500001	59000000	1.02	1.079	0.963	0.975
4:59000001-59500000	4	59000001	59500000	0.949	0.893	0.988	0.978
4:59500001-60000000	4	59500001	60000000	0.986	0.951	1.027	0.851
4:60000001-60500000	4	60000001	60500000	0.928	1.023	0.98	0.917
4:60500001-61000000	4	60500001	61000000	0.968	1.101	1.02	0.967
4:61000001-61500000	4	61000001	61500000	0.979	1.041	0.965	1.01
4:61500001-62000000	4	61500001	62000000	0.988	1.115	1.019	1.124
4:62000001-62500000	4	62000001	62500000	0.908	1.045	0.896	0.849
4:62500001-63000000	4	62500001	63000000	0.981	1.044	0.883	0.881
4:63000001-63500000	4	63000001	63500000	0.935	1.038	0.999	0.984
4:63500001-64000000	4	63500001	64000000	1.021	0.921	0.855	0.92
4:64000001-64500000	4	64000001	64500000	0.995	0.937	0.954	1.048
4:65000001-65500000	4	65000001	65500000	1.058	0.915	1.009	1.017
4:65500001-66000000	4	65500001	66000000	0.964	0.972	1.012	0.819
4:66500001-67000000	4	66500001	67000000	1.012	0.965	1.068	0.952
4:67000001-67500000	4	67000001	67500000	0.995	0.977	1.036	1.016
4:67500001-68000000	4	67500001	68000000	1.035	1.009	0.986	0.927
4:69500001-70000000	4	69500001	70000000	1.053	0.854	0.938	0.95
4:70000001-70500000	4	70000001	70500000	0.968	1.02	0.959	1.007
4:70500001-71000000	4	70500001	71000000	0.991	0.883	0.922	1.01
4:71000001-71500000	4	71000001	71500000	1.094	1.054	1.091	0.903
4:71500001-72000000	4	71500001	72000000	1.015	0.972	1.013	0.876
4:72000001-72500000	4	72000001	72500000	1.063	1.084	0.978	0.994
4:72500001-73000000	4	72500001	73000000	1.073	1.087	1.087	1.018
4:73000001-73500000	4	73000001	73500000	1.035	0.929	0.919	0.891
4:73500001-74000000	4	73500001	74000000	1.07	0.931	0.919	0.87
4:74000001-74500000	4	74000001	74500000	0.983	0.959	1.018	0.846
4:74500001-75000000	4	74500001	75000000	1.013	1.065	1.042	0.938
4:75500001-76000000	4	75500001	76000000	0.909	0.966	0.956	0.804
4:76000001-76500000	4	76000001	76500000	0.967	0.989	1.008	0.983
4:76500001-77000000	4	76500001	77000000	0.927	0.938	1.032	0.905
4:77000001-77500000	4	77000001	77500000	1.047	0.978	0.996	1.045
4:77500001-78000000	4	77500001	78000000	1.011	0.967	0.955	0.993
4:78500001-79000000	4	78500001	79000000	1.04	1.096	0.966	0.939
4:79000001-79500000	4	79000001	79500000	1.025	0.975	1.095	1.149
4:79500001-80000000	4	79500001	80000000	0.998	1.054	1.018	0.986
4:80000001-80500000	4	80000001	80500000	0.934	1.056	0.991	0.919
4:80500001-81000000	4	80500001	81000000	1.121	1.03	1.001	0.873
4:81000001-81500000	4	81000001	81500000	1.106	1.123	1.013	1.015
4:81500001-82000000	4	81500001	82000000	1.067	1.044	1.017	0.953
4:82000001-82500000	4	82000001	82500000	1.04	1.016	1.026	0.979
4:82500001-83000000	4	82500001	83000000	1.03	0.904	1.018	0.979
4:83500001-84000000	4	83500001	84000000	0.965	0.905	1.098	0.887
4:84000001-84500000	4	84000001	84500000	1.041	1.118	1.072	1.025
4:84500001-85000000	4	84500001	85000000	0.921	1.039	1.019	0.884
4:85000001-85500000	4	85000001	85500000	1.059	0.976	1.027	0.895
4:85500001-86000000	4	85500001	86000000	1.035	0.953	1.031	0.935
4:86000001-86500000	4	86000001	86500000	1.082	1.029	1.129	1.026
4:86500001-87000000	4	86500001	87000000	1.087	0.967	1.033	0.954
4:87000001-87500000	4	87000001	87500000	0.949	0.955	0.899	0.846
4:87500001-88000000	4	87500001	88000000	1.041	1.026	1.025	1.09
4:88000001-88500000	4	88000001	88500000	0.994	0.891	0.995	0.936
4:88500001-89000000	4	88500001	89000000	1.01	0.959	0.914	0.952
4:89000001-89500000	4	89000001	89500000	0.996	0.969	0.997	0.974
4:90000001-90500000	4	90000001	90500000	1.09	1.013	0.991	0.964
4:90500001-91000000	4	90500001	91000000	1.047	1.03	1.027	0.93
4:91000001-91500000	4	91000001	91500000	0.96	0.959	1.024	1.045
4:91500001-92000000	4	91500001	92000000	0.948	1.029	0.972	0.942
4:92000001-92500000	4	92000001	92500000	0.96	1.002	0.94	1.102
4:93000001-93500000	4	93000001	93500000	1.057	0.932	0.99	0.974
4:93500001-94000000	4	93500001	94000000	1.093	1.027	1.001	0.965
4:94000001-94500000	4	94000001	94500000	1.005	0.977	0.983	1.045
4:94500001-95000000	4	94500001	95000000	1.03	1.016	0.96	0.964
4:95000001-95500000	4	95000001	95500000	1.01	0.929	1.092	0.993
4:95500001-96000000	4	95500001	96000000	1.037	0.978	1.045	1.097
4:96000001-96500000	4	96000001	96500000	1.015	0.992	1.043	0.962
4:96500001-97000000	4	96500001	97000000	1.031	1.001	0.956	0.937
4:97000001-97500000	4	97000001	97500000	0.983	1.038	0.998	0.908
4:97500001-98000000	4	97500001	98000000	0.994	0.945	0.979	0.861
4:98000001-98500000	4	98000001	98500000	0.987	0.954	0.941	0.852
4:98500001-99000000	4	98500001	99000000	1.035	1.015	0.934	1.027
4:99000001-99500000	4	99000001	99500000	0.927	0.922	0.919	0.929
4:99500001-100000000	4	99500001	100000000	0.961	1.03	1.008	0.91
4:100000001-100500000	4	100000001	100500000	0.973	0.93	1.051	0.903
4:100500001-101000000	4	100500001	101000000	1.051	0.998	1.108	0.953
4:101000001-101500000	4	101000001	101500000	1.034	0.947	0.921	0.912
4:101500001-102000000	4	101500001	102000000	1.03	1.026	1.09	0.967
4:102000001-102500000	4	102000001	102500000	0.953	1.092	1.031	0.832
4:103000001-103500000	4	103000001	103500000	1.09	1.079	0.956	0.964
4:103500001-104000000	4	103500001	104000000	0.921	0.96	1.068	0.939
4:104000001-104500000	4	104000001	104500000	1.034	0.991	0.963	0.888
4:104500001-105000000	4	104500001	105000000	1.005	0.91	1.049	0.97
4:105000001-105500000	4	105000001	105500000	1.095	0.91	0.945	0.847
4:105500001-106000000	4	105500001	106000000	1.006	1.058	1.101	0.96
4:106000001-106500000	4	106000001	106500000	0.998	0.999	0.949	0.968
4:106500001-107000000	4	106500001	107000000	1.08	1.035	1.089	1.084
4:107000001-107500000	4	107000001	107500000	0.975	0.947	1.009	0.945
4:108000001-108500000	4	108000001	108500000	1.049	1.002	1.019	0.995
4:108500001-109000000	4	108500001	109000000	1.039	0.989	1.061	0.989
4:109000001-109500000	4	109000001	109500000	0.996	1.02	0.985	0.953
4:109500001-110000000	4	109500001	110000000	1.079	1.028	1.029	0.967
4:110000001-110500000	4	110000001	110500000	1.002	1.023	1.022	0.992
4:110500001-111000000	4	110500001	111000000	1.007	0.902	1.023	0.895
4:111000001-111500000	4	111000001	111500000	1.023	0.951	0.952	0.853
4:111500001-112000000	4	111500001	112000000	1.043	1.022	1.016	0.977
4:112500001-113000000	4	112500001	113000000	0.986	1.033	1.037	0.89
4:113000001-113500000	4	113000001	113500000	1.094	1.048	1.001	0.949
4:113500001-114000000	4	113500001	114000000	1.062	1.075	1.07	0.842
4:114000001-114500000	4	114000001	114500000	0.983	0.991	0.958	0.842
4:114500001-115000000	4	114500001	115000000	0.988	0.938	1.09	0.947
4:115000001-115500000	4	115000001	115500000	1.052	1.007	1.014	0.836
4:115500001-116000000	4	115500001	116000000	1.01	1.011	0.993	0.96
4:116500001-117000000	4	116500001	117000000	1.01	0.969	1.011	0.893
4:117000001-117500000	4	117000001	117500000	1.009	1.027	1.01	0.892
4:117500001-118000000	4	117500001	118000000	0.986	1.013	1.02	1.054
4:118000001-118500000	4	118000001	118500000	0.953	0.981	1.02	1.011
4:119500001-120000000	4	119500001	120000000	0.989	0.922	0.97	0.992
4:120000001-120500000	4	120000001	120500000	1.072	1.055	1.136	0.98
4:120500001-121000000	4	120500001	121000000	0.97	1.061	0.949	1.04
4:121000001-121500000	4	121000001	121500000	1.017	0.988	1.154	0.97
4:121500001-122000000	4	121500001	122000000	0.95	0.986	0.999	0.985
4:122000001-122500000	4	122000001	122500000	1.071	1.009	1.088	0.942
4:122500001-123000000	4	122500001	123000000	1.055	0.979	1.038	1.049
4:123000001-123500000	4	123000001	123500000	1.043	0.984	1.013	0.872
4:123500001-124000000	4	123500001	124000000	1.038	0.915	1.029	0.857
4:124000001-124500000	4	124000001	124500000	0.987	1.055	1.05	1.002
4:124500001-125000000	4	124500001	125000000	1.039	1.004	0.909	1.031
4:125000001-125500000	4	125000001	125500000	0.994	1.035	0.982	0.901
4:125500001-126000000	4	125500001	126000000	0.985	1.045	1.063	0.87
4:126000001-126500000	4	126000001	126500000	0.966	0.954	0.959	0.902
4:126500001-127000000	4	126500001	127000000	0.949	1.014	0.92	0.985
4:127000001-127500000	4	127000001	127500000	0.993	1.091	1.087	0.949
4:127500001-128000000	4	127500001	128000000	1.022	1.005	1.085	0.927
4:128500001-129000000	4	128500001	129000000	1.068	0.893	0.958	1.073
4:129000001-129500000	4	129000001	129500000	1.001	0.975	1.045	0.875
4:129500001-130000000	4	129500001	130000000	1.005	1	1.09	0.896
4:130000001-130500000	4	130000001	130500000	1.029	0.978	1.066	0.977
4:130500001-131000000	4	130500001	131000000	0.961	1.08	0.913	0.867
4:131000001-131500000	4	131000001	131500000	0.979	1.039	1.03	0.939
4:132000001-132500000	4	132000001	132500000	0.859	1.048	0.915	0.982
4:132500001-133000000	4	132500001	133000000	1.002	0.97	0.947	0.854
4:133000001-133500000	4	133000001	133500000	1.011	0.947	1.081	0.872
4:133500001-134000000	4	133500001	134000000	0.974	1.043	0.915	0.902
4:134000001-134500000	4	134000001	134500000	0.908	0.973	0.971	0.962
4:134500001-135000000	4	134500001	135000000	0.992	0.928	0.981	0.979
4:135000001-135500000	4	135000001	135500000	0.943	0.956	0.937	0.891
4:135500001-136000000	4	135500001	136000000	1.001	1.01	0.981	0.875
4:136000001-136500000	4	136000001	136500000	0.926	0.906	0.969	0.923
4:136500001-137000000	4	136500001	137000000	0.912	1.059	0.867	0.952
4:137000001-137500000	4	137000001	137500000	0.957	0.953	1.044	0.905
4:137500001-138000000	4	137500001	138000000	1.007	0.979	1.09	0.905
4:138000001-138500000	4	138000001	138500000	0.918	0.932	1.068	0.973
4:138500001-139000000	4	138500001	139000000	1.028	1.095	1.039	0.977
4:139000001-139500000	4	139000001	139500000	0.86	0.961	0.949	0.862
4:139500001-140000000	4	139500001	140000000	1.013	0.973	1.016	0.975
4:140000001-140500000	4	140000001	140500000	0.952	1.066	0.937	0.871
4:141000001-141500000	4	141000001	141500000	0.976	0.975	1.032	1.128
4:141500001-142000000	4	141500001	142000000	1.06	1.105	1.007	1.01
4:142000001-142500000	4	142000001	142500000	1.026	1.156	1.102	0.891
4:142500001-143000000	4	142500001	143000000	1.027	0.958	1.018	1.064
4:144500001-145000000	4	144500001	145000000	1.02	0.851	0.995	0.979
4:145000001-145500000	4	145000001	145500000	1.008	1.023	0.981	1.049
4:145500001-146000000	4	145500001	146000000	1.084	0.957	0.967	1.081
4:146000001-146500000	4	146000001	146500000	0.963	1.046	0.979	0.911
4:146500001-147000000	4	146500001	147000000	1.061	1	1.112	0.979
4:147000001-147500000	4	147000001	147500000	1.046	0.955	1.094	0.956
4:147500001-148000000	4	147500001	148000000	0.949	1.027	0.905	0.899
4:148000001-148500000	4	148000001	148500000	0.985	0.914	0.953	1.043
4:148500001-149000000	4	148500001	149000000	1.004	0.971	1.056	0.91
4:149000001-149500000	4	149000001	149500000	1.024	0.953	1.084	0.913
4:149500001-150000000	4	149500001	150000000	1.053	1.068	1.007	1.004
4:150000001-150500000	4	150000001	150500000	1.034	0.975	0.976	0.93
4:150500001-151000000	4	150500001	151000000	1.086	1.047	0.864	0.824
4:151000001-151500000	4	151000001	151500000	0.995	0.974	0.978	0.906
4:151500001-152000000	4	151500001	152000000	1.01	0.994	1.095	1.034
4:152000001-152500000	4	152000001	152500000	1.109	1.032	0.979	1.045
4:152500001-153000000	4	152500001	153000000	0.985	1.036	0.897	0.948
4:153000001-153500000	4	153000001	153500000	0.907	0.919	1.068	0.837
4:153500001-154000000	4	153500001	154000000	0.954	1.032	0.966	0.959
4:154000001-154500000	4	154000001	154500000	1.044	1.036	1.014	0.922
4:154500001-155000000	4	154500001	155000000	1.013	0.986	0.988	1.067
4:155500001-156000000	4	155500001	156000000	1.016	0.934	0.994	1.106
4:156000001-156500000	4	156000001	156500000	1.052	0.944	0.947	0.938
4:156500001-157000000	4	156500001	157000000	0.999	0.953	1.039	0.982
4:157000001-157500000	4	157000001	157500000	0.993	0.994	1.106	1.192
4:158000001-158500000	4	158000001	158500000	0.955	1.145	1.042	1.128
4:158500001-159000000	4	158500001	159000000	1.029	1.071	1.009	1.019
4:159000001-159500000	4	159000001	159500000	0.998	1.051	0.883	1.016
4:159500001-160000000	4	159500001	160000000	0.982	1.064	1.075	1.042
4:160500001-161000000	4	160500001	161000000	1.084	1.104	1.012	0.956
4:162500001-163000000	4	162500001	163000000	1.029	1.029	0.964	0.922
4:163000001-163500000	4	163000001	163500000	1.099	0.937	1.065	1.076
4:163500001-164000000	4	163500001	164000000	0.989	1	1.005	0.887
4:164000001-164500000	4	164000001	164500000	1.005	1.055	1.037	1.033
4:164500001-165000000	4	164500001	165000000	0.965	1.031	0.901	1.069
4:165000001-165500000	4	165000001	165500000	0.92	0.981	0.895	0.956
4:165500001-166000000	4	165500001	166000000	1.028	1.087	0.949	0.993
4:166000001-166500000	4	166000001	166500000	0.949	0.913	0.97	1.002
4:166500001-167000000	4	166500001	167000000	1.037	0.942	1.033	1.091
4:167000001-167500000	4	167000001	167500000	1.047	0.981	1.15	1.012
4:167500001-168000000	4	167500001	168000000	0.977	0.989	0.967	0.968
4:168000001-168500000	4	168000001	168500000	0.99	0.889	0.987	0.949
4:168500001-169000000	4	168500001	169000000	1.023	1	1.01	0.953
4:169000001-169500000	4	169000001	169500000	1.004	0.994	0.975	1.134
4:169500001-170000000	4	169500001	170000000	0.973	0.972	0.97	1.008
4:170000001-170500000	4	170000001	170500000	1.014	1.053	0.985	0.951
4:170500001-171000000	4	170500001	171000000	1.043	0.982	1.049	0.938
4:171000001-171500000	4	171000001	171500000	0.986	1.008	1.151	0.937
4:171500001-172000000	4	171500001	172000000	0.994	1.032	0.96	0.928
4:172500001-173000000	4	172500001	173000000	1.004	1.125	0.919	0.878
4:173000001-173500000	4	173000001	173500000	0.938	1.07	1.011	0.918
4:173500001-174000000	4	173500001	174000000	0.934	1.016	1.062	0.948
4:174000001-174500000	4	174000001	174500000	0.976	0.946	1.044	0.816
4:174500001-175000000	4	174500001	175000000	0.937	0.907	0.926	0.915
4:175000001-175500000	4	175000001	175500000	0.898	0.973	0.947	0.917
4:175500001-176000000	4	175500001	176000000	0.979	1.011	0.965	0.925
4:176000001-176500000	4	176000001	176500000	0.985	1.057	0.978	0.941
4:176500001-177000000	4	176500001	177000000	0.962	0.904	0.993	0.816
4:177000001-177500000	4	177000001	177500000	0.973	0.924	0.908	0.998
4:177500001-178000000	4	177500001	178000000	0.97	1.013	0.969	0.888
4:178000001-178500000	4	178000001	178500000	0.925	0.866	0.882	0.797
4:178500001-179000000	4	178500001	179000000	0.985	1.007	0.891	0.919
4:179500001-180000000	4	179500001	180000000	1.028	0.98	0.9	0.995
4:180000001-180500000	4	180000001	180500000	0.986	1.121	0.948	0.938
4:180500001-181000000	4	180500001	181000000	0.958	0.979	0.971	0.963
4:181000001-181500000	4	181000001	181500000	0.98	1.012	0.981	0.979
4:181500001-182000000	4	181500001	182000000	0.976	0.946	0.983	0.935
4:182000001-182500000	4	182000001	182500000	0.917	0.977	0.99	0.863
4:182500001-183000000	4	182500001	183000000	0.955	0.977	0.938	0.921
4:183500001-184000000	4	183500001	184000000	0.934	1.02	1.058	0.969
4:184000001-184500000	4	184000001	184500000	0.94	0.972	0.899	0.969
4:184500001-185000000	4	184500001	185000000	0.993	0.971	0.96	0.887
4:185000001-185500000	4	185000001	185500000	1.044	0.954	0.981	0.853
4:185500001-186000000	4	185500001	186000000	0.971	1.006	0.934	0.845
4:186000001-186500000	4	186000001	186500000	1.022	1.052	1.021	0.907
4:186500001-187000000	4	186500001	187000000	0.938	0.963	1.054	0.996
4:187000001-187500000	4	187000001	187500000	0.967	1.035	0.903	1.02
4:187500001-188000000	4	187500001	188000000	0.988	0.97	0.946	0.941
4:188500001-189000000	4	188500001	189000000	0.94	0.899	0.926	0.916
4:189000001-189500000	4	189000001	189500000	0.941	0.992	1.017	1.031
5:500001-1000000	5	500001	1000000	1.152	1.165	1.142	1.148
5:1000001-1500000	5	1000001	1500000	1.079	1.022	1.037	1.057
5:1500001-2000000	5	1500001	2000000	1.133	1.094	1.05	1.268
5:2000001-2500000	5	2000001	2500000	0.965	0.964	0.924	1.127
5:2500001-3000000	5	2500001	3000000	0.919	1.042	0.964	1.086
5:3000001-3500000	5	3000001	3500000	0.912	0.978	0.945	1.125
5:4000001-4500000	5	4000001	4500000	1.023	1.008	1.006	1.022
5:4500001-5000000	5	4500001	5000000	1.089	0.934	1.039	1.086
5:5500001-6000000	5	5500001	6000000	1.048	1.015	1.013	1.043
5:6000001-6500000	5	6000001	6500000	1.037	0.897	0.949	1.065
5:6500001-7000000	5	6500001	7000000	1.023	1.009	0.964	1.022
5:7000001-7500000	5	7000001	7500000	1.002	0.954	1.118	1.151
5:7500001-8000000	5	7500001	8000000	1.089	1.012	1	1.13
5:8000001-8500000	5	8000001	8500000	1.017	1.004	0.988	0.985
5:9000001-9500000	5	9000001	9500000	1.042	0.99	1.05	1.102
5:9500001-10000000	5	9500001	10000000	1.09	1.006	0.944	1.089
5:10000001-10500000	5	10000001	10500000	1.08	0.907	1.067	1.119
5:10500001-11000000	5	10500001	11000000	1.05	0.961	1.011	1.045
5:11000001-11500000	5	11000001	11500000	1.103	1	1.1	1.163
5:11500001-12000000	5	11500001	12000000	0.991	1.092	0.994	1.108
5:12000001-12500000	5	12000001	12500000	1.037	0.984	1.093	1.172
5:12500001-13000000	5	12500001	13000000	1.075	0.944	1.01	1.08
5:13000001-13500000	5	13000001	13500000	1.064	0.923	1.022	1.017
5:13500001-14000000	5	13500001	14000000	1.076	0.97	0.952	1.137
5:14000001-14500000	5	14000001	14500000	1.018	0.94	0.964	0.976
5:14500001-15000000	5	14500001	15000000	1.068	0.901	0.964	1.048
5:15000001-15500000	5	15000001	15500000	1.017	0.975	0.981	1.03
5:15500001-16000000	5	15500001	16000000	1.071	0.92	0.969	1.215
5:16000001-16500000	5	16000001	16500000	1.12	0.974	1.042	1.158
5:16500001-17000000	5	16500001	17000000	1.116	1.008	1.078	1.264
5:17000001-17500000	5	17000001	17500000	1.02	1.021	1.05	0.993
5:17500001-18000000	5	17500001	18000000	1.01	1.06	1.01	0.994
5:18000001-18500000	5	18000001	18500000	1.043	1.008	0.958	0.973
5:18500001-19000000	5	18500001	19000000	1.025	0.89	0.989	1.052
