feature	chromosome	start	end	SLX-17922.D710tp_D504tp.HC22GBBXY.s_6.r_1	SLX-16150.D708tp_D503tp.HC22VBBXY.s_3.r_1
3:87000001-87500000	3	87000001	87500000	1.019	1.035
3:87500001-88000000	3	87500001	88000000	1.051	1.03
3:88000001-88500000	3	88000001	88500000	0.917	0.963
3:88500001-89000000	3	88500001	89000000	1.007	1.046
3:89000001-89500000	3	89000001	89500000	1.013	1.006
3:94000001-94500000	3	94000001	94500000	1.018	0.936
3:94500001-95000000	3	94500001	95000000	0.972	0.905
3:95000001-95500000	3	95000001	95500000	0.932	0.902
3:95500001-96000000	3	95500001	96000000	0.993	1.072
3:97000001-97500000	3	97000001	97500000	0.96	1.003
3:97500001-98000000	3	97500001	98000000	0.975	0.977
3:98000001-98500000	3	98000001	98500000	0.971	0.914
3:98500001-99000000	3	98500001	99000000	0.986	1.04
3:99000001-99500000	3	99000001	99500000	0.965	0.977
3:99500001-100000000	3	99500001	100000000	1.043	0.977
3:100000001-100500000	3	100000001	100500000	0.956	0.998
3:100500001-101000000	3	100500001	101000000	1.098	0.991
3:101000001-101500000	3	101000001	101500000	1.004	0.874
3:101500001-102000000	3	101500001	102000000	0.938	0.973
3:102000001-102500000	3	102000001	102500000	1.008	1.005
3:102500001-103000000	3	102500001	103000000	1.049	0.929
3:103000001-103500000	3	103000001	103500000	0.982	0.999
3:103500001-104000000	3	103500001	104000000	0.981	1.001
3:104000001-104500000	3	104000001	104500000	0.968	0.952
3:104500001-105000000	3	104500001	105000000	0.998	0.926
3:105000001-105500000	3	105000001	105500000	0.983	0.884
3:105500001-106000000	3	105500001	106000000	0.981	1.045
3:106000001-106500000	3	106000001	106500000	1.01	1.031
3:107000001-107500000	3	107000001	107500000	1.024	0.977
3:107500001-108000000	3	107500001	108000000	1.029	1.151
3:108000001-108500000	3	108000001	108500000	1.066	1.027
3:108500001-109000000	3	108500001	109000000	1.01	0.906
3:109000001-109500000	3	109000001	109500000	1.092	0.978
3:109500001-110000000	3	109500001	110000000	0.995	0.885
3:110000001-110500000	3	110000001	110500000	0.94	1.026
3:110500001-111000000	3	110500001	111000000	1.085	0.971
3:111000001-111500000	3	111000001	111500000	0.962	0.966
3:111500001-112000000	3	111500001	112000000	0.979	1.019
3:112000001-112500000	3	112000001	112500000	0.968	0.944
3:112500001-113000000	3	112500001	113000000	0.953	1.12
3:113000001-113500000	3	113000001	113500000	1.109	1.024
3:113500001-114000000	3	113500001	114000000	0.98	0.965
3:114000001-114500000	3	114000001	114500000	0.94	1.077
3:114500001-115000000	3	114500001	115000000	1.027	1.049
3:115000001-115500000	3	115000001	115500000	1.021	0.971
3:115500001-116000000	3	115500001	116000000	1.032	1.001
3:116000001-116500000	3	116000001	116500000	1.027	1.005
3:116500001-117000000	3	116500001	117000000	0.991	0.966
3:117000001-117500000	3	117000001	117500000	0.982	1.012
3:117500001-118000000	3	117500001	118000000	1.014	1.061
3:118000001-118500000	3	118000001	118500000	0.902	0.963
3:118500001-119000000	3	118500001	119000000	0.962	1.132
3:119000001-119500000	3	119000001	119500000	1	1.016
3:120000001-120500000	3	120000001	120500000	0.938	0.938
3:121000001-121500000	3	121000001	121500000	0.976	0.983
3:121500001-122000000	3	121500001	122000000	1.001	1.073
3:122000001-122500000	3	122000001	122500000	0.904	1.137
3:123000001-123500000	3	123000001	123500000	0.91	0.907
3:123500001-124000000	3	123500001	124000000	0.964	0.821
3:124000001-124500000	3	124000001	124500000	1.087	1.092
3:124500001-125000000	3	124500001	125000000	1.048	0.99
3:125000001-125500000	3	125000001	125500000	1.043	1.009
3:126000001-126500000	3	126000001	126500000	1.032	1.03
3:126500001-127000000	3	126500001	127000000	1.109	1.098
3:127500001-128000000	3	127500001	128000000	0.943	1.043
3:128000001-128500000	3	128000001	128500000	0.93	1.028
3:129000001-129500000	3	129000001	129500000	1.023	0.951
3:129500001-130000000	3	129500001	130000000	1.059	0.847
3:130500001-131000000	3	130500001	131000000	1.12	1.033
3:131000001-131500000	3	131000001	131500000	1.065	1.06
3:131500001-132000000	3	131500001	132000000	0.915	1.046
3:132000001-132500000	3	132000001	132500000	1.011	1.031
3:132500001-133000000	3	132500001	133000000	1.042	0.994
3:133000001-133500000	3	133000001	133500000	0.931	1.13
3:133500001-134000000	3	133500001	134000000	1.011	0.974
3:134000001-134500000	3	134000001	134500000	0.998	1.1
3:134500001-135000000	3	134500001	135000000	0.997	1.008
3:135000001-135500000	3	135000001	135500000	1.053	0.973
3:135500001-136000000	3	135500001	136000000	0.995	1.023
3:136000001-136500000	3	136000001	136500000	1.008	0.989
3:136500001-137000000	3	136500001	137000000	0.925	1.002
3:137500001-138000000	3	137500001	138000000	1.02	1.058
3:138000001-138500000	3	138000001	138500000	1.027	1.067
3:138500001-139000000	3	138500001	139000000	0.981	0.867
3:139000001-139500000	3	139000001	139500000	0.998	1.004
3:139500001-140000000	3	139500001	140000000	1.017	1.086
3:140000001-140500000	3	140000001	140500000	1.041	1.08
3:140500001-141000000	3	140500001	141000000	1.068	1.039
3:141000001-141500000	3	141000001	141500000	0.875	1.048
3:141500001-142000000	3	141500001	142000000	1.071	0.98
3:142000001-142500000	3	142000001	142500000	1.085	0.938
3:143000001-143500000	3	143000001	143500000	0.924	0.963
3:143500001-144000000	3	143500001	144000000	0.955	1.035
3:144000001-144500000	3	144000001	144500000	0.962	0.969
3:144500001-145000000	3	144500001	145000000	0.984	1.026
3:145000001-145500000	3	145000001	145500000	1.002	0.881
3:145500001-146000000	3	145500001	146000000	0.941	1.029
3:146000001-146500000	3	146000001	146500000	1.019	1.024
3:146500001-147000000	3	146500001	147000000	0.999	0.964
3:147000001-147500000	3	147000001	147500000	0.935	1.029
3:147500001-148000000	3	147500001	148000000	0.894	0.947
3:148000001-148500000	3	148000001	148500000	1.044	0.945
3:148500001-149000000	3	148500001	149000000	0.962	1.109
3:149000001-149500000	3	149000001	149500000	0.901	0.991
3:149500001-150000000	3	149500001	150000000	1.001	0.945
3:150000001-150500000	3	150000001	150500000	0.949	1.033
3:150500001-151000000	3	150500001	151000000	1.009	1.13
3:151000001-151500000	3	151000001	151500000	1.06	1.072
3:151500001-152000000	3	151500001	152000000	0.961	1.068
3:152000001-152500000	3	152000001	152500000	0.958	1.026
3:153000001-153500000	3	153000001	153500000	0.895	1.018
3:154000001-154500000	3	154000001	154500000	1.028	1.126
3:154500001-155000000	3	154500001	155000000	1.06	1.019
3:155000001-155500000	3	155000001	155500000	0.943	0.926
3:155500001-156000000	3	155500001	156000000	1.065	1.099
3:156000001-156500000	3	156000001	156500000	0.984	0.985
3:156500001-157000000	3	156500001	157000000	0.931	0.971
3:157000001-157500000	3	157000001	157500000	0.991	0.86
3:157500001-158000000	3	157500001	158000000	1.04	0.948
3:158000001-158500000	3	158000001	158500000	1.041	0.913
3:158500001-159000000	3	158500001	159000000	1.028	0.99
3:159000001-159500000	3	159000001	159500000	1.084	0.982
3:159500001-160000000	3	159500001	160000000	1.037	1.084
3:160000001-160500000	3	160000001	160500000	0.982	0.966
3:161000001-161500000	3	161000001	161500000	1.056	1.085
3:161500001-162000000	3	161500001	162000000	1.014	1.029
3:162000001-162500000	3	162000001	162500000	0.948	0.938
3:163000001-163500000	3	163000001	163500000	0.967	0.941
3:163500001-164000000	3	163500001	164000000	0.844	0.965
3:164000001-164500000	3	164000001	164500000	1.02	0.956
3:164500001-165000000	3	164500001	165000000	0.994	0.895
3:165000001-165500000	3	165000001	165500000	1.022	0.977
3:165500001-166000000	3	165500001	166000000	1.018	0.995
3:166500001-167000000	3	166500001	167000000	0.946	0.98
3:167000001-167500000	3	167000001	167500000	1.046	1.086
3:167500001-168000000	3	167500001	168000000	0.941	1.058
3:168000001-168500000	3	168000001	168500000	1.176	1.092
3:168500001-169000000	3	168500001	169000000	0.985	1.001
3:169000001-169500000	3	169000001	169500000	1.045	1.165
3:169500001-170000000	3	169500001	170000000	1.024	1.072
3:170000001-170500000	3	170000001	170500000	0.981	0.826
3:170500001-171000000	3	170500001	171000000	1.059	1.043
3:171000001-171500000	3	171000001	171500000	1.022	0.933
3:172000001-172500000	3	172000001	172500000	1.006	0.912
3:172500001-173000000	3	172500001	173000000	0.996	0.976
3:173000001-173500000	3	173000001	173500000	1.057	1.053
3:173500001-174000000	3	173500001	174000000	1.104	1.106
3:174000001-174500000	3	174000001	174500000	0.89	1.054
3:174500001-175000000	3	174500001	175000000	1.032	1.076
3:175000001-175500000	3	175000001	175500000	1.07	1.045
3:175500001-176000000	3	175500001	176000000	0.936	0.967
3:176000001-176500000	3	176000001	176500000	0.887	1.055
3:176500001-177000000	3	176500001	177000000	0.989	1.166
3:177500001-178000000	3	177500001	178000000	1.055	1.062
3:178000001-178500000	3	178000001	178500000	1.06	1.087
3:178500001-179000000	3	178500001	179000000	1.072	0.954
3:179000001-179500000	3	179000001	179500000	0.902	0.907
3:179500001-180000000	3	179500001	180000000	0.963	0.946
3:180000001-180500000	3	180000001	180500000	1.024	1.023
3:180500001-181000000	3	180500001	181000000	0.93	0.939
3:181000001-181500000	3	181000001	181500000	1.015	0.983
3:181500001-182000000	3	181500001	182000000	0.973	0.927
3:182000001-182500000	3	182000001	182500000	1.041	1.036
3:182500001-183000000	3	182500001	183000000	1.042	1.009
3:183000001-183500000	3	183000001	183500000	1.067	0.977
3:183500001-184000000	3	183500001	184000000	1.018	0.965
3:184000001-184500000	3	184000001	184500000	1.086	1.022
3:184500001-185000000	3	184500001	185000000	1.039	1.084
3:185000001-185500000	3	185000001	185500000	0.993	1.054
3:185500001-186000000	3	185500001	186000000	1.059	1.074
3:186000001-186500000	3	186000001	186500000	1.073	1.034
3:186500001-187000000	3	186500001	187000000	1.104	1.082
3:187000001-187500000	3	187000001	187500000	1.175	0.986
3:187500001-188000000	3	187500001	188000000	0.956	1.072
3:188000001-188500000	3	188000001	188500000	0.989	1.012
3:188500001-189000000	3	188500001	189000000	0.995	1.046
3:189000001-189500000	3	189000001	189500000	1.059	1.072
3:189500001-190000000	3	189500001	190000000	0.99	1.055
3:190000001-190500000	3	190000001	190500000	1.081	1.065
3:190500001-191000000	3	190500001	191000000	0.991	1.004
3:191000001-191500000	3	191000001	191500000	0.895	1.096
3:191500001-192000000	3	191500001	192000000	0.937	1.014
3:192000001-192500000	3	192000001	192500000	1.126	0.994
3:193000001-193500000	3	193000001	193500000	1.074	1.011
3:193500001-194000000	3	193500001	194000000	1.043	1.038
3:194000001-194500000	3	194000001	194500000	0.931	0.977
3:194500001-195000000	3	194500001	195000000	1.081	1.033
3:195000001-195500000	3	195000001	195500000	1.115	0.981
3:196000001-196500000	3	196000001	196500000	1.035	0.984
3:196500001-197000000	3	196500001	197000000	0.979	0.892
3:197000001-197500000	3	197000001	197500000	0.972	1.017
3:197500001-198000000	3	197500001	198000000	1.023	0.993
4:500001-1000000	4	500001	1000000	0.845	1.015
4:1000001-1500000	4	1000001	1500000	0.962	0.96
4:1500001-2000000	4	1500001	2000000	1.035	1.074
4:2000001-2500000	4	2000001	2500000	1.135	0.976
4:2500001-3000000	4	2500001	3000000	0.947	0.913
4:3000001-3500000	4	3000001	3500000	1.023	1.073
4:4500001-5000000	4	4500001	5000000	1.091	1.067
4:5500001-6000000	4	5500001	6000000	1.126	1.118
4:6000001-6500000	4	6000001	6500000	1.071	1.036
4:6500001-7000000	4	6500001	7000000	0.919	1.029
4:7000001-7500000	4	7000001	7500000	1.038	0.956
4:7500001-8000000	4	7500001	8000000	1.015	0.965
4:8000001-8500000	4	8000001	8500000	1.029	0.932
4:8500001-9000000	4	8500001	9000000	1.125	1.013
4:10000001-10500000	4	10000001	10500000	0.981	1.004
4:10500001-11000000	4	10500001	11000000	0.968	0.941
4:11000001-11500000	4	11000001	11500000	1.042	0.947
4:11500001-12000000	4	11500001	12000000	1.065	1.105
4:12000001-12500000	4	12000001	12500000	1.04	0.997
4:13000001-13500000	4	13000001	13500000	1.01	0.909
4:13500001-14000000	4	13500001	14000000	0.993	0.987
4:14000001-14500000	4	14000001	14500000	1.068	1.043
4:15000001-15500000	4	15000001	15500000	1.022	0.996
4:15500001-16000000	4	15500001	16000000	1.088	0.961
4:16000001-16500000	4	16000001	16500000	1.061	0.922
4:16500001-17000000	4	16500001	17000000	0.966	0.957
4:17500001-18000000	4	17500001	18000000	0.985	0.885
4:18000001-18500000	4	18000001	18500000	0.961	1.032
4:19000001-19500000	4	19000001	19500000	0.975	0.872
4:19500001-20000000	4	19500001	20000000	0.982	1.065
4:20000001-20500000	4	20000001	20500000	1.032	0.955
4:20500001-21000000	4	20500001	21000000	0.913	1.11
4:21000001-21500000	4	21000001	21500000	0.913	0.961
4:21500001-22000000	4	21500001	22000000	1.006	0.988
4:22000001-22500000	4	22000001	22500000	1.035	0.922
4:23000001-23500000	4	23000001	23500000	0.976	1.092
4:23500001-24000000	4	23500001	24000000	0.904	0.942
4:24000001-24500000	4	24000001	24500000	0.899	1.011
4:24500001-25000000	4	24500001	25000000	0.909	0.928
4:25000001-25500000	4	25000001	25500000	0.883	0.867
4:26000001-26500000	4	26000001	26500000	0.951	1.034
4:26500001-27000000	4	26500001	27000000	1.058	1.027
4:27000001-27500000	4	27000001	27500000	0.849	0.961
4:28000001-28500000	4	28000001	28500000	0.87	1.021
4:28500001-29000000	4	28500001	29000000	0.895	0.915
4:29000001-29500000	4	29000001	29500000	0.955	0.965
4:29500001-30000000	4	29500001	30000000	0.991	1.059
4:30000001-30500000	4	30000001	30500000	0.885	0.973
4:31000001-31500000	4	31000001	31500000	0.905	0.947
4:31500001-32000000	4	31500001	32000000	0.919	0.958
4:32500001-33000000	4	32500001	33000000	0.907	0.891
4:33000001-33500000	4	33000001	33500000	0.957	1.043
4:33500001-34000000	4	33500001	34000000	0.904	0.964
4:34000001-34500000	4	34000001	34500000	0.939	0.986
4:34500001-35000000	4	34500001	35000000	0.844	0.813
4:35000001-35500000	4	35000001	35500000	0.934	0.912
4:35500001-36000000	4	35500001	36000000	0.977	0.989
4:36000001-36500000	4	36000001	36500000	0.978	1.076
4:36500001-37000000	4	36500001	37000000	0.88	0.905
4:37000001-37500000	4	37000001	37500000	1.011	0.911
4:37500001-38000000	4	37500001	38000000	0.933	0.973
4:38000001-38500000	4	38000001	38500000	0.902	0.97
4:38500001-39000000	4	38500001	39000000	0.931	0.952
4:39000001-39500000	4	39000001	39500000	0.936	0.859
4:39500001-40000000	4	39500001	40000000	0.836	0.94
4:40000001-40500000	4	40000001	40500000	0.934	0.922
4:40500001-41000000	4	40500001	41000000	0.978	1.058
4:41500001-42000000	4	41500001	42000000	1.029	1.016
4:42000001-42500000	4	42000001	42500000	0.941	1.016
4:42500001-43000000	4	42500001	43000000	0.978	1.035
4:43000001-43500000	4	43000001	43500000	0.996	0.981
4:43500001-44000000	4	43500001	44000000	0.917	1.03
4:44000001-44500000	4	44000001	44500000	0.919	0.954
4:44500001-45000000	4	44500001	45000000	1.019	0.891
4:45000001-45500000	4	45000001	45500000	0.889	0.841
4:45500001-46000000	4	45500001	46000000	0.844	0.888
4:46000001-46500000	4	46000001	46500000	1.017	0.988
4:46500001-47000000	4	46500001	47000000	1.005	1.205
4:47000001-47500000	4	47000001	47500000	0.931	0.953
4:48000001-48500000	4	48000001	48500000	0.976	1.028
4:48500001-49000000	4	48500001	49000000	0.973	0.997
4:52000001-52500000	4	52000001	52500000	1.033	0.951
4:52500001-53000000	4	52500001	53000000	1.085	0.999
4:53000001-53500000	4	53000001	53500000	1.032	1.028
4:53500001-54000000	4	53500001	54000000	1.089	0.997
4:54000001-54500000	4	54000001	54500000	1.1	0.961
4:54500001-55000000	4	54500001	55000000	0.947	0.992
4:55500001-56000000	4	55500001	56000000	0.861	1.063
4:56000001-56500000	4	56000001	56500000	0.915	0.982
4:56500001-57000000	4	56500001	57000000	0.936	1.082
4:57000001-57500000	4	57000001	57500000	1.025	1.084
4:57500001-58000000	4	57500001	58000000	0.949	1.015
4:58000001-58500000	4	58000001	58500000	0.965	0.985
4:58500001-59000000	4	58500001	59000000	1.001	0.902
4:59000001-59500000	4	59000001	59500000	0.934	0.832
4:59500001-60000000	4	59500001	60000000	0.953	1.057
4:60000001-60500000	4	60000001	60500000	0.877	0.935
4:60500001-61000000	4	60500001	61000000	0.984	1.014
4:61000001-61500000	4	61000001	61500000	0.85	1
4:61500001-62000000	4	61500001	62000000	0.959	1.036
4:62000001-62500000	4	62000001	62500000	0.872	1.035
4:62500001-63000000	4	62500001	63000000	0.989	0.999
4:63000001-63500000	4	63000001	63500000	0.928	1.056
4:63500001-64000000	4	63500001	64000000	0.943	0.932
4:64000001-64500000	4	64000001	64500000	0.89	0.912
4:65000001-65500000	4	65000001	65500000	1.035	0.994
4:65500001-66000000	4	65500001	66000000	1.092	1.088
4:66500001-67000000	4	66500001	67000000	0.947	0.997
4:67000001-67500000	4	67000001	67500000	1.004	0.959
4:67500001-68000000	4	67500001	68000000	0.951	1.042
4:69500001-70000000	4	69500001	70000000	0.913	1.067
4:70000001-70500000	4	70000001	70500000	1.053	0.953
4:70500001-71000000	4	70500001	71000000	0.955	0.981
4:71000001-71500000	4	71000001	71500000	0.99	1.015
4:71500001-72000000	4	71500001	72000000	0.98	1.038
4:72000001-72500000	4	72000001	72500000	0.985	0.993
4:72500001-73000000	4	72500001	73000000	1.016	1.059
4:73000001-73500000	4	73000001	73500000	0.951	1.05
4:73500001-74000000	4	73500001	74000000	0.947	1.058
4:74000001-74500000	4	74000001	74500000	0.97	0.961
4:74500001-75000000	4	74500001	75000000	0.954	1.066
4:75500001-76000000	4	75500001	76000000	0.917	1.004
4:76000001-76500000	4	76000001	76500000	0.915	1.02
4:76500001-77000000	4	76500001	77000000	0.897	0.935
4:77000001-77500000	4	77000001	77500000	0.881	1.103
4:77500001-78000000	4	77500001	78000000	0.996	0.929
4:78500001-79000000	4	78500001	79000000	0.971	0.99
4:79000001-79500000	4	79000001	79500000	0.935	1.071
4:79500001-80000000	4	79500001	80000000	0.969	1.07
4:80000001-80500000	4	80000001	80500000	0.923	1.081
4:80500001-81000000	4	80500001	81000000	1.084	1.017
4:81000001-81500000	4	81000001	81500000	0.91	0.978
4:81500001-82000000	4	81500001	82000000	0.941	1.009
4:82000001-82500000	4	82000001	82500000	0.988	1.152
4:82500001-83000000	4	82500001	83000000	0.874	1.041
4:83500001-84000000	4	83500001	84000000	0.968	0.867
4:84000001-84500000	4	84000001	84500000	0.993	0.997
4:84500001-85000000	4	84500001	85000000	0.961	0.98
4:85000001-85500000	4	85000001	85500000	0.934	1.041
4:85500001-86000000	4	85500001	86000000	0.953	0.997
4:86000001-86500000	4	86000001	86500000	0.969	1.107
4:86500001-87000000	4	86500001	87000000	0.94	1.056
4:87000001-87500000	4	87000001	87500000	0.958	0.88
4:87500001-88000000	4	87500001	88000000	0.97	0.988
4:88000001-88500000	4	88000001	88500000	0.945	0.906
4:88500001-89000000	4	88500001	89000000	0.942	1.037
4:89000001-89500000	4	89000001	89500000	0.963	1.075
4:90000001-90500000	4	90000001	90500000	1.007	1.006
4:90500001-91000000	4	90500001	91000000	0.973	0.986
4:91000001-91500000	4	91000001	91500000	0.979	0.958
4:91500001-92000000	4	91500001	92000000	1.024	0.972
4:92000001-92500000	4	92000001	92500000	0.984	0.864
4:93000001-93500000	4	93000001	93500000	1.025	0.948
4:93500001-94000000	4	93500001	94000000	1.016	0.977
4:94000001-94500000	4	94000001	94500000	0.923	1.068
4:94500001-95000000	4	94500001	95000000	0.93	1.118
4:95000001-95500000	4	95000001	95500000	1.019	0.966
4:95500001-96000000	4	95500001	96000000	0.878	1.027
4:96000001-96500000	4	96000001	96500000	0.942	1.025
4:96500001-97000000	4	96500001	97000000	0.912	1.054
4:97000001-97500000	4	97000001	97500000	0.955	1.021
4:97500001-98000000	4	97500001	98000000	0.856	1.032
4:98000001-98500000	4	98000001	98500000	0.974	0.981
4:98500001-99000000	4	98500001	99000000	0.922	1.062
4:99000001-99500000	4	99000001	99500000	0.916	1.067
4:99500001-100000000	4	99500001	100000000	0.939	1.094
4:100000001-100500000	4	100000001	100500000	0.988	1.02
4:100500001-101000000	4	100500001	101000000	1.01	0.971
4:101000001-101500000	4	101000001	101500000	1.023	1.024
4:101500001-102000000	4	101500001	102000000	1.055	1.097
4:102000001-102500000	4	102000001	102500000	0.978	1.006
4:103000001-103500000	4	103000001	103500000	0.876	1.013
4:103500001-104000000	4	103500001	104000000	0.954	1.058
4:104000001-104500000	4	104000001	104500000	1.078	1.014
4:104500001-105000000	4	104500001	105000000	1.096	1.1
4:105000001-105500000	4	105000001	105500000	0.965	0.933
4:105500001-106000000	4	105500001	106000000	1.003	0.966
4:106000001-106500000	4	106000001	106500000	0.91	1.003
4:106500001-107000000	4	106500001	107000000	1.073	0.972
4:107000001-107500000	4	107000001	107500000	0.926	1.022
4:108000001-108500000	4	108000001	108500000	1.03	0.966
4:108500001-109000000	4	108500001	109000000	0.906	1.08
4:109000001-109500000	4	109000001	109500000	1.081	1.016
4:109500001-110000000	4	109500001	110000000	1.011	1.003
4:110000001-110500000	4	110000001	110500000	0.977	0.928
4:110500001-111000000	4	110500001	111000000	0.948	1.045
4:111000001-111500000	4	111000001	111500000	1.003	0.919
4:111500001-112000000	4	111500001	112000000	1.052	1.123
4:112500001-113000000	4	112500001	113000000	0.855	1.011
4:113000001-113500000	4	113000001	113500000	1	0.963
4:113500001-114000000	4	113500001	114000000	0.855	1.062
4:114000001-114500000	4	114000001	114500000	0.855	0.932
4:114500001-115000000	4	114500001	115000000	0.916	0.974
4:115000001-115500000	4	115000001	115500000	1.022	0.968
4:115500001-116000000	4	115500001	116000000	0.976	0.971
4:116500001-117000000	4	116500001	117000000	0.92	1.009
4:117000001-117500000	4	117000001	117500000	1.022	1.032
4:117500001-118000000	4	117500001	118000000	1.026	0.968
4:118000001-118500000	4	118000001	118500000	0.929	0.858
4:119500001-120000000	4	119500001	120000000	1.031	0.999
4:120000001-120500000	4	120000001	120500000	0.922	1.061
4:120500001-121000000	4	120500001	121000000	1.032	1.038
4:121000001-121500000	4	121000001	121500000	0.999	1.04
4:121500001-122000000	4	121500001	122000000	0.988	0.958
4:122000001-122500000	4	122000001	122500000	1.056	1.054
4:122500001-123000000	4	122500001	123000000	0.948	1.006
4:123000001-123500000	4	123000001	123500000	0.972	1.004
4:123500001-124000000	4	123500001	124000000	0.93	1.094
4:124000001-124500000	4	124000001	124500000	1.01	1.116
4:124500001-125000000	4	124500001	125000000	0.964	0.968
4:125000001-125500000	4	125000001	125500000	1.015	1.019
4:125500001-126000000	4	125500001	126000000	0.963	1.015
4:126000001-126500000	4	126000001	126500000	0.882	1.17
4:126500001-127000000	4	126500001	127000000	0.907	1.022
4:127000001-127500000	4	127000001	127500000	0.93	1.004
4:127500001-128000000	4	127500001	128000000	0.916	1.009
4:128500001-129000000	4	128500001	129000000	1.008	1.04
4:129000001-129500000	4	129000001	129500000	0.95	1
4:129500001-130000000	4	129500001	130000000	0.916	1.027
4:130000001-130500000	4	130000001	130500000	0.943	1.049
4:130500001-131000000	4	130500001	131000000	0.975	0.972
4:131000001-131500000	4	131000001	131500000	0.93	0.891
4:132000001-132500000	4	132000001	132500000	0.961	0.943
4:132500001-133000000	4	132500001	133000000	0.965	0.981
4:133000001-133500000	4	133000001	133500000	0.937	0.905
4:133500001-134000000	4	133500001	134000000	0.97	0.91
4:134000001-134500000	4	134000001	134500000	0.937	0.971
4:134500001-135000000	4	134500001	135000000	0.927	1.072
4:135000001-135500000	4	135000001	135500000	0.971	0.929
4:135500001-136000000	4	135500001	136000000	0.89	1.015
4:136000001-136500000	4	136000001	136500000	0.92	0.919
4:136500001-137000000	4	136500001	137000000	0.891	0.895
4:137000001-137500000	4	137000001	137500000	0.988	0.992
4:137500001-138000000	4	137500001	138000000	0.938	0.972
4:138000001-138500000	4	138000001	138500000	0.981	0.987
4:138500001-139000000	4	138500001	139000000	0.944	1.05
4:139000001-139500000	4	139000001	139500000	0.912	1.03
4:139500001-140000000	4	139500001	140000000	0.976	0.954
4:140000001-140500000	4	140000001	140500000	0.925	0.902
4:141000001-141500000	4	141000001	141500000	1.03	0.97
4:141500001-142000000	4	141500001	142000000	1.069	1.041
4:142000001-142500000	4	142000001	142500000	0.952	1.065
4:142500001-143000000	4	142500001	143000000	0.964	1.115
4:144500001-145000000	4	144500001	145000000	0.897	0.852
4:145000001-145500000	4	145000001	145500000	1.07	0.876
4:145500001-146000000	4	145500001	146000000	0.893	1.028
4:146000001-146500000	4	146000001	146500000	0.929	0.953
4:146500001-147000000	4	146500001	147000000	1.024	1.065
4:147000001-147500000	4	147000001	147500000	0.985	1.018
4:147500001-148000000	4	147500001	148000000	0.947	0.923
4:148000001-148500000	4	148000001	148500000	0.966	1.001
4:148500001-149000000	4	148500001	149000000	0.889	0.958
4:149000001-149500000	4	149000001	149500000	0.959	1.03
4:149500001-150000000	4	149500001	150000000	0.938	1.053
4:150000001-150500000	4	150000001	150500000	0.902	0.947
4:150500001-151000000	4	150500001	151000000	0.973	1.086
4:151000001-151500000	4	151000001	151500000	1.008	0.912
4:151500001-152000000	4	151500001	152000000	1.031	1.048
4:152000001-152500000	4	152000001	152500000	0.998	0.963
4:152500001-153000000	4	152500001	153000000	0.952	0.95
4:153000001-153500000	4	153000001	153500000	0.889	1.111
4:153500001-154000000	4	153500001	154000000	0.959	0.974
4:154000001-154500000	4	154000001	154500000	0.982	1.046
4:154500001-155000000	4	154500001	155000000	0.944	0.901
4:155500001-156000000	4	155500001	156000000	1.029	1.046
4:156000001-156500000	4	156000001	156500000	0.884	1.024
4:156500001-157000000	4	156500001	157000000	0.986	1.05
4:157000001-157500000	4	157000001	157500000	0.995	1.003
4:158000001-158500000	4	158000001	158500000	0.944	0.962
4:158500001-159000000	4	158500001	159000000	0.972	0.899
4:159000001-159500000	4	159000001	159500000	0.964	0.906
4:159500001-160000000	4	159500001	160000000	1.009	0.997
4:160500001-161000000	4	160500001	161000000	0.913	1.052
4:162500001-163000000	4	162500001	163000000	0.868	0.888
4:163000001-163500000	4	163000001	163500000	0.941	1.086
4:163500001-164000000	4	163500001	164000000	0.909	1.039
4:164000001-164500000	4	164000001	164500000	1.009	1.052
4:164500001-165000000	4	164500001	165000000	0.977	0.858
4:165000001-165500000	4	165000001	165500000	0.979	0.962
4:165500001-166000000	4	165500001	166000000	0.929	0.977
4:166000001-166500000	4	166000001	166500000	0.932	1.011
4:166500001-167000000	4	166500001	167000000	0.97	1.026
4:167000001-167500000	4	167000001	167500000	1.064	1.048
4:167500001-168000000	4	167500001	168000000	0.981	0.944
4:168000001-168500000	4	168000001	168500000	0.951	1.011
4:168500001-169000000	4	168500001	169000000	0.999	1.131
4:169000001-169500000	4	169000001	169500000	1.029	1.042
4:169500001-170000000	4	169500001	170000000	0.996	1.017
4:170000001-170500000	4	170000001	170500000	0.937	0.971
4:170500001-171000000	4	170500001	171000000	0.943	0.996
4:171000001-171500000	4	171000001	171500000	0.961	1.076
4:171500001-172000000	4	171500001	172000000	0.941	1.031
4:172500001-173000000	4	172500001	173000000	0.894	0.984
4:173000001-173500000	4	173000001	173500000	0.871	0.973
4:173500001-174000000	4	173500001	174000000	0.917	0.909
4:174000001-174500000	4	174000001	174500000	1.017	0.896
4:174500001-175000000	4	174500001	175000000	0.926	0.963
4:175000001-175500000	4	175000001	175500000	1.01	0.934
4:175500001-176000000	4	175500001	176000000	0.93	0.971
4:176000001-176500000	4	176000001	176500000	1.018	0.933
4:176500001-177000000	4	176500001	177000000	0.993	0.903
4:177000001-177500000	4	177000001	177500000	0.94	1.019
4:177500001-178000000	4	177500001	178000000	0.902	0.884
4:178000001-178500000	4	178000001	178500000	0.817	0.887
4:178500001-179000000	4	178500001	179000000	0.962	0.992
