feature	chromosome	start	end	SLX-17922.D701tp_D507tp.HC22GBBXY.s_6.r_1	SLX-17922.D705tp_D505tp.HC22GBBXY.s_6.r_1	SLX-16150.D704tp_D505tp.HC22VBBXY.s_3.r_1
3:10000001-10500000	3	10000001	10500000	0.983	0.949	0.967
3:10500001-11000000	3	10500001	11000000	1.048	1.031	1.131
3:11000001-11500000	3	11000001	11500000	1.025	1.062	1.05
3:11500001-12000000	3	11500001	12000000	1.025	0.966	1.087
3:12000001-12500000	3	12000001	12500000	1.032	1.011	1.064
3:12500001-13000000	3	12500001	13000000	1.037	0.976	0.943
3:13000001-13500000	3	13000001	13500000	0.982	0.971	0.872
3:13500001-14000000	3	13500001	14000000	1.108	1.026	0.97
3:14000001-14500000	3	14000001	14500000	0.964	1.03	0.901
3:14500001-15000000	3	14500001	15000000	0.936	0.938	0.965
3:15000001-15500000	3	15000001	15500000	0.991	1.086	0.98
3:15500001-16000000	3	15500001	16000000	0.935	0.929	1.004
3:16000001-16500000	3	16000001	16500000	0.972	0.958	0.889
3:16500001-17000000	3	16500001	17000000	1.004	0.902	1.034
3:17000001-17500000	3	17000001	17500000	1.039	0.963	0.964
3:17500001-18000000	3	17500001	18000000	1.027	1.067	1.027
3:18000001-18500000	3	18000001	18500000	0.999	0.991	1.129
3:18500001-19000000	3	18500001	19000000	1.128	1.063	1.123
3:19000001-19500000	3	19000001	19500000	1.046	1.064	1.186
3:19500001-20000000	3	19500001	20000000	1.061	0.928	1.06
3:20000001-20500000	3	20000001	20500000	1.006	0.877	0.971
3:20500001-21000000	3	20500001	21000000	1.011	0.974	0.918
3:21000001-21500000	3	21000001	21500000	0.962	0.978	0.971
3:21500001-22000000	3	21500001	22000000	1.049	0.927	0.962
3:22000001-22500000	3	22000001	22500000	1.043	0.959	1.045
3:22500001-23000000	3	22500001	23000000	1.076	1.07	1.077
3:23000001-23500000	3	23000001	23500000	1.05	1.145	0.978
3:23500001-24000000	3	23500001	24000000	0.898	1.048	0.928
3:24000001-24500000	3	24000001	24500000	0.993	0.988	1.101
3:25500001-26000000	3	25500001	26000000	1.021	1.055	1.182
3:26000001-26500000	3	26000001	26500000	1.081	1.034	1.094
3:26500001-27000000	3	26500001	27000000	1.053	1.032	1.103
3:27000001-27500000	3	27000001	27500000	1.014	0.959	0.947
3:27500001-28000000	3	27500001	28000000	0.982	0.977	0.979
3:28000001-28500000	3	28000001	28500000	0.985	1.095	0.954
3:28500001-29000000	3	28500001	29000000	0.942	1.033	0.969
3:29000001-29500000	3	29000001	29500000	0.965	0.97	1.031
3:30000001-30500000	3	30000001	30500000	1.051	1.148	1.105
3:30500001-31000000	3	30500001	31000000	1.018	1.046	1.018
3:31000001-31500000	3	31000001	31500000	0.951	0.932	0.952
3:31500001-32000000	3	31500001	32000000	0.987	1.017	0.849
3:32000001-32500000	3	32000001	32500000	1.066	0.983	0.984
3:32500001-33000000	3	32500001	33000000	0.964	0.969	0.97
3:33000001-33500000	3	33000001	33500000	0.943	0.981	1.091
3:34000001-34500000	3	34000001	34500000	1.103	0.995	1.119
3:34500001-35000000	3	34500001	35000000	0.991	1.091	0.932
3:35000001-35500000	3	35000001	35500000	0.992	0.961	1.033
3:35500001-36000000	3	35500001	36000000	1.1	1.064	0.963
3:36000001-36500000	3	36000001	36500000	1.048	1.033	1.068
3:36500001-37000000	3	36500001	37000000	0.964	0.964	0.907
3:37000001-37500000	3	37000001	37500000	0.992	0.953	0.952
3:37500001-38000000	3	37500001	38000000	0.975	0.994	1.048
3:38000001-38500000	3	38000001	38500000	1.032	0.996	1.087
3:38500001-39000000	3	38500001	39000000	1.016	1.059	1.015
3:39000001-39500000	3	39000001	39500000	0.97	0.976	0.949
3:39500001-40000000	3	39500001	40000000	1.028	1.052	1.033
3:40500001-41000000	3	40500001	41000000	1.1	1.045	1.074
3:41000001-41500000	3	41000001	41500000	1.062	1.033	0.962
3:42000001-42500000	3	42000001	42500000	1.014	1.048	0.961
3:42500001-43000000	3	42500001	43000000	0.98	1.039	1.014
3:43500001-44000000	3	43500001	44000000	1.139	1.084	1.187
3:44000001-44500000	3	44000001	44500000	0.989	0.952	0.941
3:44500001-45000000	3	44500001	45000000	0.994	1.019	0.973
3:45000001-45500000	3	45000001	45500000	1.017	0.939	1.137
3:45500001-46000000	3	45500001	46000000	0.884	0.93	1.068
3:46000001-46500000	3	46000001	46500000	0.992	1.036	1.088
3:46500001-47000000	3	46500001	47000000	0.994	0.941	1.076
3:47000001-47500000	3	47000001	47500000	0.944	0.932	0.992
3:47500001-48000000	3	47500001	48000000	0.994	0.984	0.97
3:48000001-48500000	3	48000001	48500000	0.996	1.03	0.905
3:48500001-49000000	3	48500001	49000000	1.041	1.024	0.982
3:49500001-50000000	3	49500001	50000000	1.001	0.936	1.049
3:50000001-50500000	3	50000001	50500000	1.024	0.998	0.826
3:50500001-51000000	3	50500001	51000000	0.96	0.993	1.1
3:51000001-51500000	3	51000001	51500000	1.042	0.992	0.937
3:51500001-52000000	3	51500001	52000000	1.013	1.069	1.063
3:52000001-52500000	3	52000001	52500000	0.933	0.974	1.061
3:52500001-53000000	3	52500001	53000000	0.948	1.042	0.831
3:53000001-53500000	3	53000001	53500000	1.068	0.992	1.037
3:53500001-54000000	3	53500001	54000000	0.977	1.073	0.933
3:54000001-54500000	3	54000001	54500000	1.065	1.099	1
3:54500001-55000000	3	54500001	55000000	1.041	1.099	1.171
3:55000001-55500000	3	55000001	55500000	1.063	1.086	0.973
3:55500001-56000000	3	55500001	56000000	0.956	0.997	1.037
3:56000001-56500000	3	56000001	56500000	0.929	1.068	1.158
3:56500001-57000000	3	56500001	57000000	0.992	0.904	0.973
3:57000001-57500000	3	57000001	57500000	1.046	1.02	1.085
3:57500001-58000000	3	57500001	58000000	0.94	0.979	0.888
3:58000001-58500000	3	58000001	58500000	0.996	1.026	0.935
3:58500001-59000000	3	58500001	59000000	1.131	1.151	1.214
3:59000001-59500000	3	59000001	59500000	1.088	0.987	0.906
3:59500001-60000000	3	59500001	60000000	1.05	1.027	1.161
3:60000001-60500000	3	60000001	60500000	1.081	1.06	1.094
3:60500001-61000000	3	60500001	61000000	1.053	1.064	0.963
3:61000001-61500000	3	61000001	61500000	1.028	1.088	1.049
3:61500001-62000000	3	61500001	62000000	0.965	0.921	0.984
3:62000001-62500000	3	62000001	62500000	0.982	0.967	1.039
3:62500001-63000000	3	62500001	63000000	1.003	1.016	0.937
3:63000001-63500000	3	63000001	63500000	1.094	1.01	1.058
3:63500001-64000000	3	63500001	64000000	0.943	1.025	0.984
3:64000001-64500000	3	64000001	64500000	0.997	0.976	1
3:64500001-65000000	3	64500001	65000000	1.002	0.86	0.937
3:65000001-65500000	3	65000001	65500000	1.057	1.049	1.085
3:65500001-66000000	3	65500001	66000000	0.918	1.036	0.829
3:66000001-66500000	3	66000001	66500000	0.962	1.061	1.022
3:66500001-67000000	3	66500001	67000000	0.93	0.978	1.009
3:67000001-67500000	3	67000001	67500000	1.086	0.978	1.034
3:67500001-68000000	3	67500001	68000000	1.001	1.042	1.003
3:68000001-68500000	3	68000001	68500000	0.945	0.975	0.975
3:69000001-69500000	3	69000001	69500000	0.901	0.971	1.066
3:69500001-70000000	3	69500001	70000000	0.993	1.015	0.911
3:70000001-70500000	3	70000001	70500000	1.098	1.071	1.121
3:70500001-71000000	3	70500001	71000000	1.012	1.019	1.123
3:71000001-71500000	3	71000001	71500000	0.964	0.972	0.997
3:71500001-72000000	3	71500001	72000000	0.994	0.999	1.014
3:72000001-72500000	3	72000001	72500000	0.98	0.996	0.959
3:72500001-73000000	3	72500001	73000000	0.961	0.976	1.052
3:73500001-74000000	3	73500001	74000000	0.987	0.915	0.836
3:74000001-74500000	3	74000001	74500000	1.049	0.946	0.814
3:74500001-75000000	3	74500001	75000000	0.997	1.04	1.046
3:76000001-76500000	3	76000001	76500000	1.012	1.062	0.991
3:76500001-77000000	3	76500001	77000000	0.955	1.019	0.887
3:77000001-77500000	3	77000001	77500000	1.08	1.05	0.907
3:77500001-78000000	3	77500001	78000000	0.935	1.09	0.85
3:78000001-78500000	3	78000001	78500000	0.979	1.055	1.025
3:78500001-79000000	3	78500001	79000000	1.011	0.951	1.139
3:79000001-79500000	3	79000001	79500000	1.087	1.049	1.138
3:79500001-80000000	3	79500001	80000000	0.962	1.052	0.983
3:80000001-80500000	3	80000001	80500000	0.967	0.968	0.876
3:80500001-81000000	3	80500001	81000000	0.926	1	0.841
3:81000001-81500000	3	81000001	81500000	0.95	1.004	1.203
3:81500001-82000000	3	81500001	82000000	0.948	1.04	0.915
3:82000001-82500000	3	82000001	82500000	0.935	0.959	1.008
3:83000001-83500000	3	83000001	83500000	1.028	0.924	1.084
3:83500001-84000000	3	83500001	84000000	0.962	0.917	1.019
3:84000001-84500000	3	84000001	84500000	1.023	1.029	1.002
3:84500001-85000000	3	84500001	85000000	0.946	0.963	0.986
3:85000001-85500000	3	85000001	85500000	1.034	0.978	1.096
3:85500001-86000000	3	85500001	86000000	1.038	0.91	0.917
3:86000001-86500000	3	86000001	86500000	0.991	0.887	0.833
3:86500001-87000000	3	86500001	87000000	0.963	0.999	0.897
3:87000001-87500000	3	87000001	87500000	1.061	1.081	0.895
3:87500001-88000000	3	87500001	88000000	0.987	1.004	0.868
3:88000001-88500000	3	88000001	88500000	0.973	1.037	0.979
3:88500001-89000000	3	88500001	89000000	1.001	1.053	1.017
3:89000001-89500000	3	89000001	89500000	1.015	0.98	1.054
3:94000001-94500000	3	94000001	94500000	0.943	1.032	1.182
3:94500001-95000000	3	94500001	95000000	0.962	0.95	1.206
3:95000001-95500000	3	95000001	95500000	0.959	0.942	1.01
3:95500001-96000000	3	95500001	96000000	1.037	0.923	0.98
3:97000001-97500000	3	97000001	97500000	0.993	0.963	1.024
3:97500001-98000000	3	97500001	98000000	1.088	1.023	1.126
3:98000001-98500000	3	98000001	98500000	1.049	0.981	0.902
3:98500001-99000000	3	98500001	99000000	1.017	0.883	0.924
3:99000001-99500000	3	99000001	99500000	1.009	1.003	1.017
3:99500001-100000000	3	99500001	100000000	1.029	0.958	1.075
3:100000001-100500000	3	100000001	100500000	0.986	0.989	0.9
3:100500001-101000000	3	100500001	101000000	1.086	0.97	0.888
3:101000001-101500000	3	101000001	101500000	0.996	0.991	1.265
3:101500001-102000000	3	101500001	102000000	0.96	0.998	0.888
3:102000001-102500000	3	102000001	102500000	0.968	0.935	1.115
3:102500001-103000000	3	102500001	103000000	1.045	0.928	1.033
3:103000001-103500000	3	103000001	103500000	1.039	1.017	1.072
3:103500001-104000000	3	103500001	104000000	1.024	0.976	0.939
3:104000001-104500000	3	104000001	104500000	1.072	0.88	0.891
3:104500001-105000000	3	104500001	105000000	1.019	0.923	1.071
3:105000001-105500000	3	105000001	105500000	1.031	0.993	1.166
3:105500001-106000000	3	105500001	106000000	1.011	0.959	1.044
3:106000001-106500000	3	106000001	106500000	0.998	1.041	0.91
3:107000001-107500000	3	107000001	107500000	0.971	0.982	0.97
3:107500001-108000000	3	107500001	108000000	0.953	1.085	0.975
3:108000001-108500000	3	108000001	108500000	0.963	1.056	0.99
3:108500001-109000000	3	108500001	109000000	1.03	0.93	0.962
3:109000001-109500000	3	109000001	109500000	1.008	0.965	1.072
3:109500001-110000000	3	109500001	110000000	1.074	1.052	0.999
3:110000001-110500000	3	110000001	110500000	1.077	1.075	0.976
3:110500001-111000000	3	110500001	111000000	1.023	0.998	1.075
3:111000001-111500000	3	111000001	111500000	0.941	0.902	0.991
3:111500001-112000000	3	111500001	112000000	0.972	1.025	1.256
3:112000001-112500000	3	112000001	112500000	1.071	0.937	1.022
3:112500001-113000000	3	112500001	113000000	1.001	1.034	0.941
3:113000001-113500000	3	113000001	113500000	1.062	1.021	1.204
3:113500001-114000000	3	113500001	114000000	0.954	0.974	1.081
3:114000001-114500000	3	114000001	114500000	0.972	0.968	1.07
3:114500001-115000000	3	114500001	115000000	1.008	1.024	1.089
3:115000001-115500000	3	115000001	115500000	1.082	1.134	1.133
3:115500001-116000000	3	115500001	116000000	1.032	1.011	1.007
3:116000001-116500000	3	116000001	116500000	1.021	1.028	1.044
3:116500001-117000000	3	116500001	117000000	0.992	1.055	0.968
3:117000001-117500000	3	117000001	117500000	1.042	1.01	1.019
3:117500001-118000000	3	117500001	118000000	0.98	1.038	0.897
3:118000001-118500000	3	118000001	118500000	0.977	1.047	0.979
3:118500001-119000000	3	118500001	119000000	1.008	0.933	0.889
3:119000001-119500000	3	119000001	119500000	0.927	1.059	0.937
3:120000001-120500000	3	120000001	120500000	0.999	1.005	1.108
3:121000001-121500000	3	121000001	121500000	1.002	1.098	0.975
3:121500001-122000000	3	121500001	122000000	0.96	0.954	1.035
3:122000001-122500000	3	122000001	122500000	0.986	0.939	1.019
3:123000001-123500000	3	123000001	123500000	1.025	1.009	1.11
3:123500001-124000000	3	123500001	124000000	0.949	0.92	0.864
3:124000001-124500000	3	124000001	124500000	0.988	1.105	1.022
3:124500001-125000000	3	124500001	125000000	0.993	0.912	0.99
3:125000001-125500000	3	125000001	125500000	1.01	0.933	1
3:126000001-126500000	3	126000001	126500000	0.974	0.963	1.019
3:126500001-127000000	3	126500001	127000000	1.055	1.011	1.027
3:127500001-128000000	3	127500001	128000000	0.92	1.098	1.09
3:128000001-128500000	3	128000001	128500000	0.953	1.008	0.982
3:129000001-129500000	3	129000001	129500000	0.929	0.978	0.864
3:129500001-130000000	3	129500001	130000000	0.973	0.956	1.039
3:130500001-131000000	3	130500001	131000000	1.007	1.009	0.953
3:131000001-131500000	3	131000001	131500000	1.056	0.991	1.136
3:131500001-132000000	3	131500001	132000000	0.972	0.972	1.02
3:132000001-132500000	3	132000001	132500000	1.006	1.046	1.04
3:132500001-133000000	3	132500001	133000000	1.054	1.076	0.936
3:133000001-133500000	3	133000001	133500000	1.035	1.128	1.126
3:133500001-134000000	3	133500001	134000000	0.961	1.093	1.025
3:134000001-134500000	3	134000001	134500000	1.086	1.022	1.088
3:134500001-135000000	3	134500001	135000000	1.11	0.933	0.95
3:135000001-135500000	3	135000001	135500000	1.07	1.025	1.022
3:135500001-136000000	3	135500001	136000000	1.085	1.024	0.915
3:136000001-136500000	3	136000001	136500000	0.963	0.943	0.868
3:136500001-137000000	3	136500001	137000000	0.968	0.944	1.102
3:137500001-138000000	3	137500001	138000000	1.046	1.195	1.102
3:138000001-138500000	3	138000001	138500000	0.989	1.034	0.816
3:138500001-139000000	3	138500001	139000000	0.972	0.92	1.035
3:139000001-139500000	3	139000001	139500000	1.074	0.977	1.074
3:139500001-140000000	3	139500001	140000000	1.136	0.973	0.908
3:140000001-140500000	3	140000001	140500000	0.994	1.026	0.991
3:140500001-141000000	3	140500001	141000000	1.002	1.096	1.04
3:141000001-141500000	3	141000001	141500000	0.963	0.906	1.05
3:141500001-142000000	3	141500001	142000000	1.056	1.037	1.306
3:142000001-142500000	3	142000001	142500000	0.916	0.951	0.979
3:143000001-143500000	3	143000001	143500000	0.994	0.996	0.933
3:143500001-144000000	3	143500001	144000000	1.059	1.051	1.003
3:144000001-144500000	3	144000001	144500000	1.013	1.041	0.997
3:144500001-145000000	3	144500001	145000000	0.967	1.1	0.915
3:145000001-145500000	3	145000001	145500000	0.928	0.942	1.09
3:145500001-146000000	3	145500001	146000000	1.084	1.012	0.87
3:146000001-146500000	3	146000001	146500000	0.972	0.99	1.079
3:146500001-147000000	3	146500001	147000000	0.993	0.927	1.024
3:147000001-147500000	3	147000001	147500000	1.019	1.041	1.031
3:147500001-148000000	3	147500001	148000000	0.994	0.966	0.934
3:148000001-148500000	3	148000001	148500000	1.081	1.038	0.999
3:148500001-149000000	3	148500001	149000000	0.972	0.991	1.171
3:149000001-149500000	3	149000001	149500000	0.981	0.9	0.979
3:149500001-150000000	3	149500001	150000000	1.085	1.032	0.953
3:150000001-150500000	3	150000001	150500000	1.018	0.915	0.961
3:150500001-151000000	3	150500001	151000000	0.912	0.978	0.857
3:151000001-151500000	3	151000001	151500000	1.046	0.945	1.046
3:151500001-152000000	3	151500001	152000000	1.067	0.988	1.129
3:152000001-152500000	3	152000001	152500000	0.993	0.997	0.956
3:153000001-153500000	3	153000001	153500000	0.935	0.997	1.11
3:154000001-154500000	3	154000001	154500000	1.04	0.938	1.183
3:154500001-155000000	3	154500001	155000000	0.963	1.05	1.036
3:155000001-155500000	3	155000001	155500000	0.999	1.046	1.228
3:155500001-156000000	3	155500001	156000000	0.979	1.016	1.007
3:156000001-156500000	3	156000001	156500000	1.037	1.179	1.123
3:156500001-157000000	3	156500001	157000000	1.021	0.921	0.981
3:157000001-157500000	3	157000001	157500000	0.912	0.949	0.977
3:157500001-158000000	3	157500001	158000000	1.037	0.968	1.097
3:158000001-158500000	3	158000001	158500000	1.073	1.06	1.026
3:158500001-159000000	3	158500001	159000000	1.022	0.942	0.892
3:159000001-159500000	3	159000001	159500000	1.044	1.018	1.009
3:159500001-160000000	3	159500001	160000000	1.006	1.058	1.1
3:160000001-160500000	3	160000001	160500000	0.947	1.019	1.066
3:161000001-161500000	3	161000001	161500000	1.049	0.957	1.031
3:161500001-162000000	3	161500001	162000000	1.015	1.042	1.126
3:162000001-162500000	3	162000001	162500000	0.934	1.091	1.109
3:163000001-163500000	3	163000001	163500000	1.006	0.979	0.889
3:163500001-164000000	3	163500001	164000000	0.933	0.975	0.809
3:164000001-164500000	3	164000001	164500000	0.906	0.96	1.097
3:164500001-165000000	3	164500001	165000000	0.967	0.936	0.878
3:165000001-165500000	3	165000001	165500000	0.981	1.025	0.905
3:165500001-166000000	3	165500001	166000000	0.96	1.082	1.11
3:166500001-167000000	3	166500001	167000000	0.923	0.933	0.964
3:167000001-167500000	3	167000001	167500000	1.07	0.942	1.089
3:167500001-168000000	3	167500001	168000000	1.054	1.031	0.945
3:168000001-168500000	3	168000001	168500000	1.088	1.053	0.877
3:168500001-169000000	3	168500001	169000000	1.077	0.997	1.079
3:169000001-169500000	3	169000001	169500000	1.018	1.086	1.096
3:169500001-170000000	3	169500001	170000000	1.07	1.017	1.051
3:170000001-170500000	3	170000001	170500000	0.905	1.098	1.034
3:170500001-171000000	3	170500001	171000000	1.129	1.069	1.273
3:171000001-171500000	3	171000001	171500000	0.965	0.934	1.011
3:172000001-172500000	3	172000001	172500000	0.985	0.922	0.957
3:172500001-173000000	3	172500001	173000000	0.949	1.003	1.115
3:173000001-173500000	3	173000001	173500000	1.087	1.055	0.984
3:173500001-174000000	3	173500001	174000000	1.077	1.085	1.022
3:174000001-174500000	3	174000001	174500000	0.936	1.035	1.021
3:174500001-175000000	3	174500001	175000000	0.983	1.032	0.929
3:175000001-175500000	3	175000001	175500000	1.062	1.034	1.006
3:175500001-176000000	3	175500001	176000000	0.985	1.003	1.106
3:176000001-176500000	3	176000001	176500000	1.027	0.949	1.035
3:176500001-177000000	3	176500001	177000000	1.064	1.041	1.07
3:177500001-178000000	3	177500001	178000000	0.998	1.049	1.026
3:178000001-178500000	3	178000001	178500000	1.062	0.906	1.129
3:178500001-179000000	3	178500001	179000000	1.025	0.971	0.935
3:179000001-179500000	3	179000001	179500000	0.998	0.969	1.004
3:179500001-180000000	3	179500001	180000000	0.999	0.951	1.063
3:180000001-180500000	3	180000001	180500000	0.982	1	0.973
3:180500001-181000000	3	180500001	181000000	0.966	1.068	1.098
3:181000001-181500000	3	181000001	181500000	1.053	0.935	1.003
3:181500001-182000000	3	181500001	182000000	0.971	1.039	1.052
3:182000001-182500000	3	182000001	182500000	1.031	1.142	1.109
3:182500001-183000000	3	182500001	183000000	0.965	1.005	1.057
3:183000001-183500000	3	183000001	183500000	0.971	0.98	0.959
3:183500001-184000000	3	183500001	184000000	0.886	0.969	1.139
3:184000001-184500000	3	184000001	184500000	1.013	0.973	0.978
3:184500001-185000000	3	184500001	185000000	0.932	1.003	1.045
3:185000001-185500000	3	185000001	185500000	0.946	1.003	1.125
3:185500001-186000000	3	185500001	186000000	0.861	0.964	1.141
3:186000001-186500000	3	186000001	186500000	0.977	1.028	1.064
3:186500001-187000000	3	186500001	187000000	1.016	1.001	1.126
3:187000001-187500000	3	187000001	187500000	0.989	1.017	1.02
3:187500001-188000000	3	187500001	188000000	1.02	1.031	1.038
3:188000001-188500000	3	188000001	188500000	1.02	1.051	0.948
3:188500001-189000000	3	188500001	189000000	0.956	0.992	1.088
3:189000001-189500000	3	189000001	189500000	1.005	1.03	1.022
3:189500001-190000000	3	189500001	190000000	0.958	0.995	0.892
3:190000001-190500000	3	190000001	190500000	0.92	1	1.061
3:190500001-191000000	3	190500001	191000000	0.925	0.926	0.979
3:191000001-191500000	3	191000001	191500000	0.959	0.91	0.944
3:191500001-192000000	3	191500001	192000000	0.903	0.979	0.991
3:192000001-192500000	3	192000001	192500000	1.037	0.972	1.008
3:193000001-193500000	3	193000001	193500000	0.948	1.034	1.061
3:193500001-194000000	3	193500001	194000000	1.005	1.071	1.072
3:194000001-194500000	3	194000001	194500000	0.969	0.927	1.005
3:194500001-195000000	3	194500001	195000000	0.991	1.15	1.202
3:195000001-195500000	3	195000001	195500000	1.052	1.05	1.07
3:196000001-196500000	3	196000001	196500000	1.02	0.969	1.007
3:196500001-197000000	3	196500001	197000000	0.977	0.936	0.937
3:197000001-197500000	3	197000001	197500000	0.947	1.061	0.998
3:197500001-198000000	3	197500001	198000000	0.986	1.018	1.073
4:500001-1000000	4	500001	1000000	1.02	0.97	1.003
4:1000001-1500000	4	1000001	1500000	0.959	1.023	0.874
4:1500001-2000000	4	1500001	2000000	0.97	0.988	0.947
4:2000001-2500000	4	2000001	2500000	0.873	1.021	1.067
4:2500001-3000000	4	2500001	3000000	0.91	0.984	0.655
4:3000001-3500000	4	3000001	3500000	0.935	0.954	1.003
4:4500001-5000000	4	4500001	5000000	0.996	1.067	0.943
4:5500001-6000000	4	5500001	6000000	1.088	1.077	1.075
4:6000001-6500000	4	6000001	6500000	1.028	1.051	0.949
4:6500001-7000000	4	6500001	7000000	0.945	0.931	0.932
4:7000001-7500000	4	7000001	7500000	1.038	0.981	1.035
4:7500001-8000000	4	7500001	8000000	1.042	1.011	0.928
4:8000001-8500000	4	8000001	8500000	1.013	1.051	1.082
4:8500001-9000000	4	8500001	9000000	1.139	1.055	1.07
4:10000001-10500000	4	10000001	10500000	0.914	0.951	0.899
4:10500001-11000000	4	10500001	11000000	1.033	0.962	1.096
4:11000001-11500000	4	11000001	11500000	1.062	1.014	1.067
4:11500001-12000000	4	11500001	12000000	0.94	0.964	1.007
4:12000001-12500000	4	12000001	12500000	1.043	1.01	0.918
4:13000001-13500000	4	13000001	13500000	0.959	1.026	0.934
4:13500001-14000000	4	13500001	14000000	0.946	1.036	0.948
4:14000001-14500000	4	14000001	14500000	1.083	1.088	1.081
4:15000001-15500000	4	15000001	15500000	1.014	0.975	0.968
4:15500001-16000000	4	15500001	16000000	0.939	1.044	0.879
4:16000001-16500000	4	16000001	16500000	1.074	0.984	0.948
4:16500001-17000000	4	16500001	17000000	1.016	0.99	0.885
4:17500001-18000000	4	17500001	18000000	0.927	0.953	0.917
4:18000001-18500000	4	18000001	18500000	0.987	0.94	0.947
4:19000001-19500000	4	19000001	19500000	1.005	0.954	1.063
4:19500001-20000000	4	19500001	20000000	0.942	0.888	1.062
4:20000001-20500000	4	20000001	20500000	0.971	0.961	0.915
4:20500001-21000000	4	20500001	21000000	1.103	1.007	0.976
4:21000001-21500000	4	21000001	21500000	1.041	1.009	0.953
4:21500001-22000000	4	21500001	22000000	0.963	0.951	0.991
4:22000001-22500000	4	22000001	22500000	0.999	1.05	0.96
4:23000001-23500000	4	23000001	23500000	0.998	1.006	0.859
4:23500001-24000000	4	23500001	24000000	1.064	0.906	1.049
4:24000001-24500000	4	24000001	24500000	1.037	1.004	0.984
4:24500001-25000000	4	24500001	25000000	1.049	1.008	1.116
4:25000001-25500000	4	25000001	25500000	0.914	0.932	0.833
4:26000001-26500000	4	26000001	26500000	0.982	0.913	0.987
4:26500001-27000000	4	26500001	27000000	1.046	0.997	0.916
4:27000001-27500000	4	27000001	27500000	0.955	0.937	0.908
4:28000001-28500000	4	28000001	28500000	0.916	0.906	0.897
4:28500001-29000000	4	28500001	29000000	0.97	0.898	0.92
4:29000001-29500000	4	29000001	29500000	0.926	1.047	0.867
4:29500001-30000000	4	29500001	30000000	0.945	0.988	1.084
4:30000001-30500000	4	30000001	30500000	1.001	0.961	0.908
4:31000001-31500000	4	31000001	31500000	0.936	1.077	1.004
4:31500001-32000000	4	31500001	32000000	0.959	1.03	0.912
4:32500001-33000000	4	32500001	33000000	0.981	1.054	0.965
4:33000001-33500000	4	33000001	33500000	0.987	0.969	1.048
4:33500001-34000000	4	33500001	34000000	0.954	0.931	0.979
4:34000001-34500000	4	34000001	34500000	0.966	0.892	0.975
4:34500001-35000000	4	34500001	35000000	0.938	0.898	0.923
4:35000001-35500000	4	35000001	35500000	0.916	0.903	1.06
4:35500001-36000000	4	35500001	36000000	1.034	1.014	1.095
4:36000001-36500000	4	36000001	36500000	1.016	1.022	1.078
4:36500001-37000000	4	36500001	37000000	1.008	0.904	0.936
4:37000001-37500000	4	37000001	37500000	1.059	1.025	0.917
4:37500001-38000000	4	37500001	38000000	0.952	0.897	1.043
4:38000001-38500000	4	38000001	38500000	0.927	1.081	1.039
4:38500001-39000000	4	38500001	39000000	1.039	1.102	1.015
4:39000001-39500000	4	39000001	39500000	0.962	0.958	0.955
4:39500001-40000000	4	39500001	40000000	0.77	0.89	0.997
4:40000001-40500000	4	40000001	40500000	1.025	1.005	1.088
4:40500001-41000000	4	40500001	41000000	1.014	0.932	0.983
4:41500001-42000000	4	41500001	42000000	1.078	1.044	1.19
4:42000001-42500000	4	42000001	42500000	0.9	1.045	0.918
4:42500001-43000000	4	42500001	43000000	0.966	1.1	0.872
4:43000001-43500000	4	43000001	43500000	0.974	0.9	1.039
4:43500001-44000000	4	43500001	44000000	0.956	0.96	1.045
4:44000001-44500000	4	44000001	44500000	0.992	0.958	1.038
4:44500001-45000000	4	44500001	45000000	0.898	0.926	0.991
4:45000001-45500000	4	45000001	45500000	0.968	1.083	1.054
4:45500001-46000000	4	45500001	46000000	0.988	0.948	1.034
4:46000001-46500000	4	46000001	46500000	1.029	0.961	1.097
4:46500001-47000000	4	46500001	47000000	0.983	1.032	1.057
4:47000001-47500000	4	47000001	47500000	1.031	0.961	1.071
4:48000001-48500000	4	48000001	48500000	0.967	0.918	0.862
4:48500001-49000000	4	48500001	49000000	1.071	1.075	0.882
4:52000001-52500000	4	52000001	52500000	1.104	1.193	1.011
4:52500001-53000000	4	52500001	53000000	1.062	0.959	1.056
4:53000001-53500000	4	53000001	53500000	1.061	1.039	1.008
4:53500001-54000000	4	53500001	54000000	1.003	1.119	1.071
4:54000001-54500000	4	54000001	54500000	1.018	0.99	1.224
4:54500001-55000000	4	54500001	55000000	1.032	1.041	1.052
4:55500001-56000000	4	55500001	56000000	0.914	0.972	1.03
4:56000001-56500000	4	56000001	56500000	0.898	1.026	0.905
4:56500001-57000000	4	56500001	57000000	0.975	1.078	1.161
4:57000001-57500000	4	57000001	57500000	0.979	1.07	0.953
4:57500001-58000000	4	57500001	58000000	1.103	0.965	1.088
4:58000001-58500000	4	58000001	58500000	1.02	0.937	0.877
4:58500001-59000000	4	58500001	59000000	1.038	1.053	1.027
4:59000001-59500000	4	59000001	59500000	0.963	0.974	1.003
4:59500001-60000000	4	59500001	60000000	1.089	0.967	0.97
4:60000001-60500000	4	60000001	60500000	0.932	0.955	0.885
4:60500001-61000000	4	60500001	61000000	1	1.027	0.991
4:61000001-61500000	4	61000001	61500000	1.042	1.061	1.048
4:61500001-62000000	4	61500001	62000000	1.063	1.073	1.014
4:62000001-62500000	4	62000001	62500000	0.919	0.976	1.151
