feature	chromosome	start	end	SLX-17930.D706tp_D502tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D503tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D504tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D505tp.H77FWBBXY.s_8.r_1
14:87500001-88000000	14	87500001	88000000	0.798	0.839	0.997	0.953
14:88000001-88500000	14	88000001	88500000	0.834	0.869	1.088	0.997
14:88500001-89000000	14	88500001	89000000	0.762	0.854	0.993	1.003
14:89000001-89500000	14	89000001	89500000	0.785	0.847	1.023	0.983
14:89500001-90000000	14	89500001	90000000	0.78	0.817	0.989	0.919
14:90000001-90500000	14	90000001	90500000	0.818	0.829	0.995	0.922
14:90500001-91000000	14	90500001	91000000	0.784	0.833	0.937	0.971
14:91000001-91500000	14	91000001	91500000	0.745	0.832	0.928	1.01
14:91500001-92000000	14	91500001	92000000	0.778	0.771	0.966	1.014
14:92000001-92500000	14	92000001	92500000	0.818	0.862	1.018	1.053
14:92500001-93000000	14	92500001	93000000	0.751	0.835	0.98	0.935
14:93000001-93500000	14	93000001	93500000	0.742	0.863	1.034	0.935
14:93500001-94000000	14	93500001	94000000	0.803	0.884	1.022	1.04
14:94000001-94500000	14	94000001	94500000	0.799	0.86	0.982	0.999
14:94500001-95000000	14	94500001	95000000	0.806	0.892	1.043	1.056
14:95000001-95500000	14	95000001	95500000	0.782	0.824	0.918	0.947
14:95500001-96000000	14	95500001	96000000	0.866	0.847	1.006	1.004
14:96000001-96500000	14	96000001	96500000	0.751	0.857	0.954	1.002
14:96500001-97000000	14	96500001	97000000	0.816	0.812	0.954	0.928
14:97000001-97500000	14	97000001	97500000	0.782	0.878	1.018	0.918
14:97500001-98000000	14	97500001	98000000	0.804	0.921	1.022	0.969
14:98000001-98500000	14	98000001	98500000	0.768	0.813	0.947	0.96
14:98500001-99000000	14	98500001	99000000	0.798	0.907	0.968	0.97
14:99000001-99500000	14	99000001	99500000	0.774	0.829	0.98	0.969
14:99500001-100000000	14	99500001	100000000	0.753	0.863	0.996	0.988
14:100000001-100500000	14	100000001	100500000	0.731	0.783	0.932	0.967
14:100500001-101000000	14	100500001	101000000	0.744	0.823	0.993	0.932
14:101000001-101500000	14	101000001	101500000	0.825	0.908	1.07	1.053
14:101500001-102000000	14	101500001	102000000	0.763	0.905	0.99	0.992
14:102000001-102500000	14	102000001	102500000	0.81	0.91	1.013	1.071
14:102500001-103000000	14	102500001	103000000	0.744	0.864	0.88	1.043
14:103000001-103500000	14	103000001	103500000	0.759	0.798	0.981	0.935
14:103500001-104000000	14	103500001	104000000	0.806	0.832	0.972	1.014
14:104000001-104500000	14	104000001	104500000	0.787	0.933	1.008	0.952
14:104500001-105000000	14	104500001	105000000	0.724	0.86	0.983	1.026
14:105000001-105500000	14	105000001	105500000	0.734	0.828	1.051	0.929
15:23500001-24000000	15	23500001	24000000	0.932	0.948	0.964	1.041
15:24500001-25000000	15	24500001	25000000	1.029	0.935	0.972	0.986
15:25000001-25500000	15	25000001	25500000	0.989	0.929	1.003	1.05
15:26000001-26500000	15	26000001	26500000	1.005	0.948	0.951	0.967
15:26500001-27000000	15	26500001	27000000	0.985	0.976	0.974	1.01
15:27000001-27500000	15	27000001	27500000	1.003	0.961	1.044	0.958
15:27500001-28000000	15	27500001	28000000	1.021	0.951	0.95	0.954
15:29000001-29500000	15	29000001	29500000	0.984	0.993	0.985	1.074
15:29500001-30000000	15	29500001	30000000	0.962	0.959	0.998	0.933
15:31000001-31500000	15	31000001	31500000	0.924	0.919	0.932	0.987
15:31500001-32000000	15	31500001	32000000	1.043	1.022	1.098	1.105
15:33000001-33500000	15	33000001	33500000	1.009	1.018	1.054	0.956
15:33500001-34000000	15	33500001	34000000	1.086	1.026	1.057	1.036
15:34000001-34500000	15	34000001	34500000	0.946	0.879	0.911	0.925
15:35500001-36000000	15	35500001	36000000	1.047	1.051	1.029	1.034
15:36000001-36500000	15	36000001	36500000	1.044	0.992	0.986	0.996
15:36500001-37000000	15	36500001	37000000	1.02	0.971	1.023	0.915
15:37000001-37500000	15	37000001	37500000	1.047	0.998	1.029	0.986
15:37500001-38000000	15	37500001	38000000	1.046	1.013	1.019	1.023
15:38000001-38500000	15	38000001	38500000	1.042	0.982	0.975	1.079
15:38500001-39000000	15	38500001	39000000	1.016	1.002	1.028	1.045
15:39000001-39500000	15	39000001	39500000	1.043	0.969	1.016	0.942
15:39500001-40000000	15	39500001	40000000	0.942	0.933	1.002	0.958
15:40500001-41000000	15	40500001	41000000	0.983	1.031	1.023	0.988
15:41500001-42000000	15	41500001	42000000	1.036	0.947	0.963	0.926
15:42000001-42500000	15	42000001	42500000	0.99	0.944	0.944	1.016
15:42500001-43000000	15	42500001	43000000	0.999	1	1.016	0.932
15:43000001-43500000	15	43000001	43500000	1.045	0.967	0.957	0.948
15:44000001-44500000	15	44000001	44500000	1.012	0.961	1.016	0.953
15:45000001-45500000	15	45000001	45500000	0.963	0.992	1.033	1.026
15:45500001-46000000	15	45500001	46000000	1.05	1.012	0.984	1.027
15:46000001-46500000	15	46000001	46500000	0.99	1.006	0.986	0.966
15:46500001-47000000	15	46500001	47000000	1.05	0.992	1.017	0.96
15:47000001-47500000	15	47000001	47500000	1.053	0.946	1.009	1.15
15:47500001-48000000	15	47500001	48000000	1.039	1.024	1.015	0.998
15:48000001-48500000	15	48000001	48500000	1.075	1.016	1.086	1.001
15:48500001-49000000	15	48500001	49000000	1.028	1.023	1.06	0.992
15:49000001-49500000	15	49000001	49500000	1.008	0.988	1.044	1.004
15:49500001-50000000	15	49500001	50000000	1.027	1.06	0.981	1.015
15:50000001-50500000	15	50000001	50500000	0.976	0.974	0.968	0.927
15:50500001-51000000	15	50500001	51000000	0.993	0.963	0.933	0.975
15:51000001-51500000	15	51000001	51500000	1.041	0.978	1.097	1.072
15:51500001-52000000	15	51500001	52000000	1.037	0.932	0.986	0.992
15:52500001-53000000	15	52500001	53000000	1.021	0.99	1.018	1.011
15:53000001-53500000	15	53000001	53500000	1.064	1.016	1.095	1.031
15:53500001-54000000	15	53500001	54000000	1.04	1.018	1	1.003
15:54000001-54500000	15	54000001	54500000	1.009	0.95	1.092	1.007
15:55000001-55500000	15	55000001	55500000	1.059	0.951	1.016	0.889
15:55500001-56000000	15	55500001	56000000	1.016	0.964	0.967	1
15:56000001-56500000	15	56000001	56500000	1.058	0.958	1.046	0.952
15:56500001-57000000	15	56500001	57000000	0.984	1.015	0.997	1.076
15:57000001-57500000	15	57000001	57500000	0.944	0.944	0.955	0.901
15:57500001-58000000	15	57500001	58000000	1.067	1.003	1.036	1.02
15:58500001-59000000	15	58500001	59000000	0.914	0.92	0.883	0.941
15:59000001-59500000	15	59000001	59500000	0.934	0.952	1.009	0.967
15:59500001-60000000	15	59500001	60000000	1.011	0.981	0.973	1.054
15:60000001-60500000	15	60000001	60500000	0.998	0.967	1.035	0.981
15:60500001-61000000	15	60500001	61000000	1.048	1.006	1.022	1.034
15:61000001-61500000	15	61000001	61500000	0.983	0.996	1.03	1.029
15:61500001-62000000	15	61500001	62000000	0.99	0.969	0.979	0.99
15:62000001-62500000	15	62000001	62500000	1.012	0.933	1.096	0.952
15:62500001-63000000	15	62500001	63000000	1.05	0.999	1.05	0.941
15:63000001-63500000	15	63000001	63500000	0.953	0.97	1.008	0.935
15:63500001-64000000	15	63500001	64000000	0.92	0.908	0.941	0.882
15:64000001-64500000	15	64000001	64500000	0.968	0.976	1.001	0.884
15:64500001-65000000	15	64500001	65000000	0.985	0.959	1.036	0.929
15:65000001-65500000	15	65000001	65500000	1.053	0.954	1.057	1.029
15:65500001-66000000	15	65500001	66000000	0.991	0.957	0.992	0.94
15:66000001-66500000	15	66000001	66500000	1.006	1.038	1.059	1.104
15:66500001-67000000	15	66500001	67000000	0.936	0.894	1.052	1.052
15:67500001-68000000	15	67500001	68000000	0.992	0.978	1.044	1.076
15:68000001-68500000	15	68000001	68500000	0.952	0.922	0.914	0.919
15:68500001-69000000	15	68500001	69000000	1.016	0.956	1.019	0.972
15:69000001-69500000	15	69000001	69500000	0.961	0.895	0.973	0.953
15:69500001-70000000	15	69500001	70000000	0.998	0.971	1.069	1.039
15:70000001-70500000	15	70000001	70500000	0.924	0.966	0.99	0.983
15:70500001-71000000	15	70500001	71000000	1.022	1.011	1.066	1.029
15:71000001-71500000	15	71000001	71500000	0.999	0.985	0.997	1.008
15:71500001-72000000	15	71500001	72000000	1.03	0.99	1.056	0.979
15:72000001-72500000	15	72000001	72500000	0.948	0.981	0.928	0.952
15:72500001-73000000	15	72500001	73000000	0.99	1.019	1.047	1.038
15:73000001-73500000	15	73000001	73500000	1.019	1.026	1.019	1.025
15:73500001-74000000	15	73500001	74000000	0.991	1.004	1.001	1.034
15:74000001-74500000	15	74000001	74500000	1.086	1.121	1.15	1.108
15:74500001-75000000	15	74500001	75000000	0.968	0.907	0.93	0.956
15:75500001-76000000	15	75500001	76000000	0.992	0.939	0.969	1.029
15:76000001-76500000	15	76000001	76500000	1.039	0.989	1.037	1.146
15:76500001-77000000	15	76500001	77000000	1.047	0.986	1.028	1.081
15:77000001-77500000	15	77000001	77500000	1.072	1.026	1.021	1.061
15:77500001-78000000	15	77500001	78000000	1.124	1.02	1.112	1.054
15:78000001-78500000	15	78000001	78500000	0.929	0.987	0.929	0.96
15:78500001-79000000	15	78500001	79000000	1.047	0.996	1.061	1.161
15:79000001-79500000	15	79000001	79500000	1.027	1.034	0.974	0.991
15:79500001-80000000	15	79500001	80000000	1.031	0.976	1.018	1.034
15:80000001-80500000	15	80000001	80500000	1.036	1.011	1.059	1.027
15:80500001-81000000	15	80500001	81000000	1.007	0.979	1.028	0.953
15:81000001-81500000	15	81000001	81500000	1.003	0.98	0.98	0.976
15:81500001-82000000	15	81500001	82000000	1.187	1.051	1.121	1.075
15:82500001-83000000	15	82500001	83000000	1.026	1.051	1.066	1.044
15:83000001-83500000	15	83000001	83500000	1.01	1.048	1.069	0.976
15:83500001-84000000	15	83500001	84000000	1.058	0.976	1.058	1.022
15:84500001-85000000	15	84500001	85000000	1.019	0.947	1.027	1.057
15:85500001-86000000	15	85500001	86000000	0.984	0.922	0.929	1.019
15:86000001-86500000	15	86000001	86500000	1.096	1.042	1.066	1.041
15:86500001-87000000	15	86500001	87000000	1.041	1.093	1.017	0.993
15:87000001-87500000	15	87000001	87500000	1.065	0.987	1.098	1.069
15:87500001-88000000	15	87500001	88000000	0.989	1.018	1.033	1.097
15:88000001-88500000	15	88000001	88500000	1.033	0.991	1.08	0.993
15:88500001-89000000	15	88500001	89000000	1.087	1.033	1.069	1.025
15:89000001-89500000	15	89000001	89500000	0.945	0.895	1.002	1.039
15:89500001-90000000	15	89500001	90000000	1.064	1.003	1.07	0.984
15:90000001-90500000	15	90000001	90500000	0.925	0.936	0.988	0.921
15:90500001-91000000	15	90500001	91000000	0.943	0.907	0.986	0.969
15:91000001-91500000	15	91000001	91500000	1.056	0.972	1.031	1.011
15:92000001-92500000	15	92000001	92500000	1.026	1.033	1.021	0.954
15:92500001-93000000	15	92500001	93000000	0.91	0.979	0.958	1.041
15:93000001-93500000	15	93000001	93500000	1.054	1.006	0.989	1.062
15:93500001-94000000	15	93500001	94000000	1.075	1.097	1.077	1.076
15:94000001-94500000	15	94000001	94500000	1.024	0.976	0.975	0.989
15:94500001-95000000	15	94500001	95000000	1.014	0.949	1.01	1.008
15:95000001-95500000	15	95000001	95500000	0.997	0.963	0.974	0.953
15:95500001-96000000	15	95500001	96000000	1.083	1.046	1.061	1.024
15:96000001-96500000	15	96000001	96500000	0.942	0.924	0.925	0.943
15:96500001-97000000	15	96500001	97000000	1.04	0.971	0.985	0.994
15:97000001-97500000	15	97000001	97500000	1.136	0.994	1.03	0.994
15:97500001-98000000	15	97500001	98000000	1.047	0.968	0.98	1.036
15:98000001-98500000	15	98000001	98500000	1.004	0.987	0.959	1.006
15:98500001-99000000	15	98500001	99000000	0.922	0.879	0.926	0.947
15:99000001-99500000	15	99000001	99500000	0.997	0.957	0.963	0.989
15:99500001-100000000	15	99500001	100000000	0.959	0.91	0.975	0.942
15:100000001-100500000	15	100000001	100500000	1.07	1.031	1.047	1.081
15:100500001-101000000	15	100500001	101000000	1.062	0.939	0.969	1.04
15:101000001-101500000	15	101000001	101500000	0.9	0.886	0.915	0.859
16:1-500000	16	1	500000	1.415	1.238	0.979	1.033
16:500001-1000000	16	500001	1000000	1.141	1.076	1.02	0.984
16:1000001-1500000	16	1000001	1500000	1.081	1.077	1.016	1.048
16:1500001-2000000	16	1500001	2000000	1.28	1.149	1.017	1.021
16:2000001-2500000	16	2000001	2500000	1.36	1.173	1.033	1.035
16:3500001-4000000	16	3500001	4000000	1.305	1.129	1.005	1.053
16:4000001-4500000	16	4000001	4500000	1.31	1.1	0.993	1.037
16:4500001-5000000	16	4500001	5000000	1.234	1.048	0.995	0.925
16:5500001-6000000	16	5500001	6000000	1.465	1.169	1.008	1.041
16:6000001-6500000	16	6000001	6500000	1.426	1.124	0.991	0.98
16:6500001-7000000	16	6500001	7000000	1.371	1.118	0.977	1.004
16:7000001-7500000	16	7000001	7500000	1.332	1.056	0.967	0.987
16:7500001-8000000	16	7500001	8000000	1.387	1.16	0.978	0.976
16:8000001-8500000	16	8000001	8500000	1.423	1.246	1.021	0.976
16:8500001-9000000	16	8500001	9000000	1.36	1.144	0.997	0.965
16:9000001-9500000	16	9000001	9500000	1.325	1.186	1.001	0.96
16:9500001-10000000	16	9500001	10000000	1.458	1.301	0.997	1.077
16:10000001-10500000	16	10000001	10500000	1.386	1.2	0.998	1.041
16:11000001-11500000	16	11000001	11500000	1.382	1.116	0.995	0.973
16:11500001-12000000	16	11500001	12000000	1.314	1.103	0.966	0.984
16:12000001-12500000	16	12000001	12500000	1.506	1.17	1.048	1.068
16:12500001-13000000	16	12500001	13000000	1.357	1.127	0.988	1.018
16:13000001-13500000	16	13000001	13500000	1.481	1.257	1.11	1.121
16:13500001-14000000	16	13500001	14000000	1.407	1.104	0.997	1.026
16:14000001-14500000	16	14000001	14500000	1.307	1.081	1.001	1.077
16:15500001-16000000	16	15500001	16000000	1.409	1.14	0.972	0.961
16:17000001-17500000	16	17000001	17500000	1.275	1.109	1.027	1.061
16:17500001-18000000	16	17500001	18000000	1.517	1.23	1.085	1.043
16:19000001-19500000	16	19000001	19500000	1.299	1.083	0.963	1.06
16:19500001-20000000	16	19500001	20000000	1.364	1.138	0.968	1.041
16:20000001-20500000	16	20000001	20500000	1.33	1.15	1.044	1.06
16:22000001-22500000	16	22000001	22500000	1.252	1.037	0.99	1.15
16:23000001-23500000	16	23000001	23500000	1.366	1.119	1.008	1.05
16:23500001-24000000	16	23500001	24000000	1.387	1.167	0.94	0.948
16:24000001-24500000	16	24000001	24500000	1.437	1.131	0.975	1.054
16:24500001-25000000	16	24500001	25000000	1.302	1.171	0.972	0.994
16:25000001-25500000	16	25000001	25500000	1.358	1.179	0.957	0.922
16:25500001-26000000	16	25500001	26000000	1.365	1.169	1.056	1.049
16:26000001-26500000	16	26000001	26500000	1.406	1.168	1.012	0.994
16:26500001-27000000	16	26500001	27000000	1.413	1.112	1.017	1.03
16:27000001-27500000	16	27000001	27500000	1.382	1.119	1.014	0.968
16:27500001-28000000	16	27500001	28000000	1.391	1.173	1.011	1.027
16:30500001-31000000	16	30500001	31000000	1.203	1.054	0.932	0.923
16:31000001-31500000	16	31000001	31500000	1.376	1.156	0.957	0.959
16:46500001-47000000	16	46500001	47000000	1.305	1.161	0.98	0.965
16:47000001-47500000	16	47000001	47500000	1.425	1.095	1.002	1.134
16:47500001-48000000	16	47500001	48000000	1.425	1.199	1.037	1.033
16:48000001-48500000	16	48000001	48500000	1.341	1.178	0.999	1.028
16:48500001-49000000	16	48500001	49000000	1.389	1.177	0.986	0.988
16:49000001-49500000	16	49000001	49500000	1.427	1.179	1.039	1.082
16:49500001-50000000	16	49500001	50000000	1.335	1.186	1.041	1.038
16:50000001-50500000	16	50000001	50500000	1.267	1.028	0.979	1.022
16:50500001-51000000	16	50500001	51000000	1.333	1.108	0.952	1.027
16:51000001-51500000	16	51000001	51500000	1.347	1.131	1.015	1.009
16:51500001-52000000	16	51500001	52000000	1.38	1.145	1.043	1.053
16:52000001-52500000	16	52000001	52500000	1.378	1.121	1.02	0.986
16:52500001-53000000	16	52500001	53000000	1.325	1.137	0.995	1.103
16:53000001-53500000	16	53000001	53500000	1.262	1.101	0.993	1.01
16:53500001-54000000	16	53500001	54000000	1.332	1.11	1.024	1.057
16:54000001-54500000	16	54000001	54500000	1.336	1.097	1.078	1.041
16:54500001-55000000	16	54500001	55000000	1.398	1.18	1.034	0.97
16:55000001-55500000	16	55000001	55500000	1.377	1.181	1.019	0.994
16:55500001-56000000	16	55500001	56000000	1.438	1.169	0.987	1.067
16:56000001-56500000	16	56000001	56500000	1.36	1.062	1.037	1.12
16:56500001-57000000	16	56500001	57000000	1.278	1.088	0.951	0.973
16:57000001-57500000	16	57000001	57500000	1.269	1.052	0.971	0.936
16:57500001-58000000	16	57500001	58000000	1.189	1.038	1	0.961
16:58000001-58500000	16	58000001	58500000	1.368	1.165	0.972	1.065
16:58500001-59000000	16	58500001	59000000	1.313	1.106	1.01	1.03
16:59000001-59500000	16	59000001	59500000	1.41	1.173	1.051	0.996
16:59500001-60000000	16	59500001	60000000	1.399	1.193	0.986	1.045
16:60500001-61000000	16	60500001	61000000	1.339	1.176	0.973	1.08
16:61000001-61500000	16	61000001	61500000	1.4	1.09	1.037	0.946
16:61500001-62000000	16	61500001	62000000	1.381	1.2	1.035	1.064
16:62000001-62500000	16	62000001	62500000	1.35	1.102	0.919	0.975
16:62500001-63000000	16	62500001	63000000	1.319	1.164	0.967	1.009
16:63000001-63500000	16	63000001	63500000	1.392	1.094	0.983	1.008
16:63500001-64000000	16	63500001	64000000	1.415	1.207	0.979	0.981
16:64000001-64500000	16	64000001	64500000	1.417	1.131	1.002	1.071
16:64500001-65000000	16	64500001	65000000	1.299	1.092	0.936	0.905
16:65000001-65500000	16	65000001	65500000	1.371	1.153	0.955	1.008
16:66000001-66500000	16	66000001	66500000	1.344	1.105	0.984	0.964
16:66500001-67000000	16	66500001	67000000	1.304	1.095	0.99	0.991
16:67000001-67500000	16	67000001	67500000	1.245	1.049	0.954	0.963
16:68000001-68500000	16	68000001	68500000	1.241	1.047	0.959	0.916
16:68500001-69000000	16	68500001	69000000	1.384	1.195	1.044	1.062
16:69500001-70000000	16	69500001	70000000	1.349	1.149	0.966	1.02
16:71500001-72000000	16	71500001	72000000	1.308	1.131	1.037	1.072
16:72000001-72500000	16	72000001	72500000	1.384	1.182	1.012	1.034
16:72500001-73000000	16	72500001	73000000	1.368	1.109	1.038	1.065
16:73500001-74000000	16	73500001	74000000	1.432	1.163	1.016	1.047
16:74000001-74500000	16	74000001	74500000	1.457	1.208	0.99	0.978
16:74500001-75000000	16	74500001	75000000	1.274	1.057	0.955	0.964
16:75000001-75500000	16	75000001	75500000	1.26	1.128	0.938	1.004
16:75500001-76000000	16	75500001	76000000	1.422	1.095	0.97	0.95
16:76000001-76500000	16	76000001	76500000	1.392	1.165	0.996	0.994
16:76500001-77000000	16	76500001	77000000	1.357	1.176	0.994	1.001
16:77000001-77500000	16	77000001	77500000	1.323	1.079	0.984	0.945
16:77500001-78000000	16	77500001	78000000	1.393	1.16	1.018	1.047
16:78000001-78500000	16	78000001	78500000	1.269	1.14	0.893	1.001
16:78500001-79000000	16	78500001	79000000	1.315	1.125	0.991	1.04
16:79000001-79500000	16	79000001	79500000	1.309	1.136	1.029	1.04
16:79500001-80000000	16	79500001	80000000	1.324	1.039	0.935	0.994
16:80000001-80500000	16	80000001	80500000	1.458	1.172	1.027	1.024
16:80500001-81000000	16	80500001	81000000	1.313	1.076	1.014	1.033
16:81000001-81500000	16	81000001	81500000	1.328	1.121	0.926	0.99
16:81500001-82000000	16	81500001	82000000	1.392	1.059	0.906	0.957
16:82500001-83000000	16	82500001	83000000	1.417	1.182	0.996	0.99
16:83000001-83500000	16	83000001	83500000	1.322	1.172	0.98	1.018
16:83500001-84000000	16	83500001	84000000	1.29	1.078	0.988	0.988
16:84000001-84500000	16	84000001	84500000	1.303	1.095	1.052	1.075
16:84500001-85000000	16	84500001	85000000	1.315	1.064	0.952	0.949
16:85000001-85500000	16	85000001	85500000	1.187	1.022	0.98	0.984
16:85500001-86000000	16	85500001	86000000	1.215	1.083	0.984	0.954
16:86000001-86500000	16	86000001	86500000	1.397	1.155	1.028	1.019
16:86500001-87000000	16	86500001	87000000	1.362	1.159	1.001	1.016
16:87000001-87500000	16	87000001	87500000	1.298	1.2	0.954	1.119
16:87500001-88000000	16	87500001	88000000	1.49	1.231	1.062	1.04
16:88500001-89000000	16	88500001	89000000	1.066	0.966	0.899	0.986
16:89000001-89500000	16	89000001	89500000	1.266	1.174	0.984	1.087
16:89500001-90000000	16	89500001	90000000	1.295	1.057	0.986	1.074
17:500001-1000000	17	500001	1000000	1.276	1.183	1.021	1.143
17:1000001-1500000	17	1000001	1500000	1.321	1.16	0.995	1.014
17:1500001-2000000	17	1500001	2000000	1.176	1.141	0.999	1.026
17:2000001-2500000	17	2000001	2500000	1.114	0.957	0.948	0.997
17:2500001-3000000	17	2500001	3000000	1.147	1.048	1.049	1.086
17:3500001-4000000	17	3500001	4000000	1.269	1.187	0.993	0.962
17:4000001-4500000	17	4000001	4500000	1.134	0.971	0.952	1.13
17:4500001-5000000	17	4500001	5000000	0.984	1.003	1.054	0.994
17:5000001-5500000	17	5000001	5500000	0.697	0.812	1.023	0.954
17:5500001-6000000	17	5500001	6000000	0.616	0.812	1.102	1.014
17:6000001-6500000	17	6000001	6500000	0.598	0.806	1.032	1.068
17:6500001-7000000	17	6500001	7000000	0.628	0.834	1.099	1.046
17:7000001-7500000	17	7000001	7500000	0.562	0.741	0.924	0.979
17:7500001-8000000	17	7500001	8000000	0.506	0.717	0.872	0.997
17:8000001-8500000	17	8000001	8500000	0.934	0.898	1.007	1.033
17:8500001-9000000	17	8500001	9000000	1.192	1.09	0.984	1.037
17:9000001-9500000	17	9000001	9500000	1.276	1.104	1.112	1.042
17:9500001-10000000	17	9500001	10000000	1.239	1.101	1.087	0.948
17:10000001-10500000	17	10000001	10500000	0.606	0.747	1.03	0.956
17:10500001-11000000	17	10500001	11000000	0.595	0.72	1.015	0.935
17:11000001-11500000	17	11000001	11500000	0.617	0.782	1.048	0.979
17:11500001-12000000	17	11500001	12000000	0.572	0.762	1.031	1.03
17:12000001-12500000	17	12000001	12500000	0.493	0.729	1.019	0.95
17:12500001-13000000	17	12500001	13000000	0.611	0.774	0.981	0.971
17:13000001-13500000	17	13000001	13500000	0.564	0.741	0.975	0.971
17:13500001-14000000	17	13500001	14000000	0.544	0.743	1.043	0.974
17:14500001-15000000	17	14500001	15000000	0.578	0.756	1.009	0.996
17:15000001-15500000	17	15000001	15500000	0.591	0.751	1.035	0.987
17:16000001-16500000	17	16000001	16500000	0.581	0.76	0.997	0.988
17:17000001-17500000	17	17000001	17500000	0.581	0.758	0.985	0.932
17:17500001-18000000	17	17500001	18000000	0.569	0.746	1.053	0.9
17:21000001-21500000	17	21000001	21500000	1.17	1.118	0.979	1.04
17:27000001-27500000	17	27000001	27500000	1.062	1.008	0.97	1.011
17:27500001-28000000	17	27500001	28000000	1.093	1.059	0.954	1.024
17:28000001-28500000	17	28000001	28500000	1.05	1.005	1.047	1.03
17:28500001-29000000	17	28500001	29000000	1.008	1.053	0.97	0.944
17:29000001-29500000	17	29000001	29500000	1.11	1.009	0.91	1.014
17:29500001-30000000	17	29500001	30000000	1.017	1.021	0.969	0.989
17:30000001-30500000	17	30000001	30500000	0.994	0.996	0.975	0.966
17:31000001-31500000	17	31000001	31500000	1.048	1.022	0.981	0.947
17:31500001-32000000	17	31500001	32000000	1.052	0.993	1.001	1.058
17:32500001-33000000	17	32500001	33000000	1.146	1.125	1.101	1.061
17:33000001-33500000	17	33000001	33500000	1.11	1.088	1.038	1.11
17:33500001-34000000	17	33500001	34000000	1.118	1.12	1.064	1.097
17:34000001-34500000	17	34000001	34500000	1.189	1.153	1.116	0.946
17:34500001-35000000	17	34500001	35000000	1.116	1.066	1.078	0.961
17:35000001-35500000	17	35000001	35500000	1.1	1.092	1.046	1.054
17:36500001-37000000	17	36500001	37000000	1.053	0.994	1.019	1.033
17:37000001-37500000	17	37000001	37500000	1.108	0.984	0.949	0.994
17:38500001-39000000	17	38500001	39000000	1.056	1.032	1.017	1.049
17:39000001-39500000	17	39000001	39500000	1.044	1.097	0.991	1.038
17:39500001-40000000	17	39500001	40000000	1.019	0.984	0.991	0.949
17:40000001-40500000	17	40000001	40500000	0.993	0.911	0.999	1.038
17:40500001-41000000	17	40500001	41000000	1.051	0.983	1.052	1.051
17:41000001-41500000	17	41000001	41500000	1.04	1.141	1.077	0.888
17:41500001-42000000	17	41500001	42000000	1.075	1.063	1.039	1.106
17:42000001-42500000	17	42000001	42500000	1.062	1.031	0.965	1.014
17:42500001-43000000	17	42500001	43000000	1.002	1.078	0.924	1.055
17:44000001-44500000	17	44000001	44500000	1.012	0.953	0.948	1.008
17:44500001-45000000	17	44500001	45000000	1.113	1.036	1.017	1.052
17:45000001-45500000	17	45000001	45500000	1.039	0.993	1.028	1.014
17:45500001-46000000	17	45500001	46000000	1.236	1.158	1.217	1.307
17:47500001-48000000	17	47500001	48000000	1.08	1.085	1.111	1.051
17:48000001-48500000	17	48000001	48500000	1.041	0.981	1.046	1.015
17:48500001-49000000	17	48500001	49000000	1.062	1.02	1.01	1.028
17:49000001-49500000	17	49000001	49500000	1.079	1.048	1.042	0.987
17:49500001-50000000	17	49500001	50000000	1.1	1.009	1.047	1.054
17:50000001-50500000	17	50000001	50500000	1.093	1.024	0.96	1.05
17:50500001-51000000	17	50500001	51000000	0.941	0.971	0.996	1.033
17:51000001-51500000	17	51000001	51500000	1.081	1.054	0.973	1.029
17:51500001-52000000	17	51500001	52000000	1.134	1.084	1.097	0.981
17:52000001-52500000	17	52000001	52500000	1.162	1.025	1.045	1.015
17:52500001-53000000	17	52500001	53000000	1.041	0.995	0.977	1.008
17:53500001-54000000	17	53500001	54000000	1.087	1.052	1.006	1.039
17:54000001-54500000	17	54000001	54500000	1.099	1.007	0.973	1.027
17:55000001-55500000	17	55000001	55500000	1.102	1.052	1.017	1.067
17:55500001-56000000	17	55500001	56000000	1.098	1.102	1.043	1.104
17:56000001-56500000	17	56000001	56500000	1.142	1.128	1.036	1.094
17:56500001-57000000	17	56500001	57000000	1.026	0.992	0.99	0.951
17:57000001-57500000	17	57000001	57500000	1.02	0.978	0.992	0.984
17:57500001-58000000	17	57500001	58000000	1.004	0.977	0.976	0.927
17:58000001-58500000	17	58000001	58500000	1.093	1.045	0.934	0.969
17:58500001-59000000	17	58500001	59000000	1.103	1.035	0.995	0.994
17:59500001-60000000	17	59500001	60000000	0.917	0.933	0.832	0.834
17:60500001-61000000	17	60500001	61000000	1.053	0.998	0.974	1.038
17:61000001-61500000	17	61000001	61500000	1.051	1.016	1.073	1.015
17:61500001-62000000	17	61500001	62000000	1.018	0.994	0.975	0.989
17:62500001-63000000	17	62500001	63000000	1.002	1.028	0.999	1.081
17:63500001-64000000	17	63500001	64000000	1.064	1.02	0.98	0.965
17:64000001-64500000	17	64000001	64500000	1.004	1.012	0.925	0.909
17:65000001-65500000	17	65000001	65500000	1.035	1.019	1.003	1.04
17:66000001-66500000	17	66000001	66500000	1.071	1.03	1.009	0.97
17:66500001-67000000	17	66500001	67000000	1.042	1.038	1.012	1.053
17:67000001-67500000	17	67000001	67500000	1.117	1.016	0.962	0.988
17:67500001-68000000	17	67500001	68000000	1.048	1.04	0.955	0.975
