feature	chromosome	start	end	SLX-17922.D708tp_D502tp.HC22GBBXY.s_6.r_1	SLX-16150.D708tp_D501tp.HC22VBBXY.s_3.r_1	SLX-16150.D709tp_D503tp.HC22VBBXY.s_3.r_1
14:24500001-25000000	14	24500001	25000000	1.04	1.061	1.143
14:25000001-25500000	14	25000001	25500000	1.088	1.043	1.04
14:25500001-26000000	14	25500001	26000000	0.977	1.065	1.096
14:26000001-26500000	14	26000001	26500000	1.065	1.107	1.09
14:26500001-27000000	14	26500001	27000000	1.027	1.088	1.082
14:27000001-27500000	14	27000001	27500000	1.022	0.99	1.014
14:27500001-28000000	14	27500001	28000000	0.989	0.9	0.954
14:28000001-28500000	14	28000001	28500000	0.908	0.983	1.046
14:28500001-29000000	14	28500001	29000000	0.952	0.942	0.98
14:29000001-29500000	14	29000001	29500000	0.996	0.984	1.019
14:29500001-30000000	14	29500001	30000000	1.046	1.039	1.104
14:30000001-30500000	14	30000001	30500000	1.035	1.064	1.106
14:30500001-31000000	14	30500001	31000000	1.048	1.043	1.134
14:31000001-31500000	14	31000001	31500000	0.958	0.93	1.053
14:31500001-32000000	14	31500001	32000000	1.164	1.012	1.119
14:32500001-33000000	14	32500001	33000000	1.059	1.062	1.049
14:33000001-33500000	14	33000001	33500000	1.095	1.089	1.101
14:33500001-34000000	14	33500001	34000000	0.998	0.916	1.016
14:34000001-34500000	14	34000001	34500000	0.989	1.002	1.143
14:35000001-35500000	14	35000001	35500000	0.94	0.903	0.956
14:35500001-36000000	14	35500001	36000000	1.047	0.948	1.065
14:36000001-36500000	14	36000001	36500000	1.032	0.991	1.153
14:36500001-37000000	14	36500001	37000000	1.011	1.003	0.98
14:37500001-38000000	14	37500001	38000000	0.927	1.035	1.002
14:38000001-38500000	14	38000001	38500000	0.965	1.005	0.984
14:38500001-39000000	14	38500001	39000000	0.991	0.984	1.004
14:39000001-39500000	14	39000001	39500000	0.888	1.091	1.108
14:39500001-40000000	14	39500001	40000000	1.039	0.883	1.093
14:40000001-40500000	14	40000001	40500000	0.982	0.955	1.075
14:41000001-41500000	14	41000001	41500000	0.922	0.93	0.974
14:41500001-42000000	14	41500001	42000000	1.047	1.013	1.055
14:42000001-42500000	14	42000001	42500000	1.033	1.109	0.995
14:42500001-43000000	14	42500001	43000000	0.91	1.012	1.011
14:43500001-44000000	14	43500001	44000000	1.124	0.983	1
14:44000001-44500000	14	44000001	44500000	0.95	0.926	1.032
14:44500001-45000000	14	44500001	45000000	0.997	0.928	1.064
14:45500001-46000000	14	45500001	46000000	0.971	1.038	0.986
14:47000001-47500000	14	47000001	47500000	1.049	1.062	1.058
14:47500001-48000000	14	47500001	48000000	0.907	0.965	1.008
14:48000001-48500000	14	48000001	48500000	1.08	1.048	1.096
14:48500001-49000000	14	48500001	49000000	0.977	0.918	1.041
14:49000001-49500000	14	49000001	49500000	0.904	1.059	1.071
14:49500001-50000000	14	49500001	50000000	0.906	0.944	0.867
14:50000001-50500000	14	50000001	50500000	0.891	1.016	1.017
14:50500001-51000000	14	50500001	51000000	0.932	0.932	0.955
14:51000001-51500000	14	51000001	51500000	1.001	1.023	1.04
14:52000001-52500000	14	52000001	52500000	0.944	0.998	0.993
14:52500001-53000000	14	52500001	53000000	0.987	0.998	0.892
14:53000001-53500000	14	53000001	53500000	1.094	1.051	1.072
14:53500001-54000000	14	53500001	54000000	1.031	1.058	1.092
14:54000001-54500000	14	54000001	54500000	0.998	1.059	1.013
14:54500001-55000000	14	54500001	55000000	1.051	0.965	0.994
14:55000001-55500000	14	55000001	55500000	0.903	0.912	0.976
14:55500001-56000000	14	55500001	56000000	0.969	1.068	1.144
14:56000001-56500000	14	56000001	56500000	0.981	0.921	1.022
14:56500001-57000000	14	56500001	57000000	1.007	0.996	1.059
14:57000001-57500000	14	57000001	57500000	0.938	1.09	1.082
14:57500001-58000000	14	57500001	58000000	1.041	0.991	1.008
14:58000001-58500000	14	58000001	58500000	0.904	1.028	1.054
14:58500001-59000000	14	58500001	59000000	1.033	1.001	0.993
14:59000001-59500000	14	59000001	59500000	1.054	1.028	1.071
14:59500001-60000000	14	59500001	60000000	1.086	1.099	1.076
14:60000001-60500000	14	60000001	60500000	0.941	0.967	1.061
14:60500001-61000000	14	60500001	61000000	0.957	0.882	0.957
14:61000001-61500000	14	61000001	61500000	1.027	1.073	1.138
14:61500001-62000000	14	61500001	62000000	0.961	0.904	1.026
14:62000001-62500000	14	62000001	62500000	1.039	1.17	1.013
14:62500001-63000000	14	62500001	63000000	1.023	1.062	1.128
14:63000001-63500000	14	63000001	63500000	1.072	1.117	0.921
14:63500001-64000000	14	63500001	64000000	0.879	0.953	0.929
14:64000001-64500000	14	64000001	64500000	0.93	0.948	0.975
14:64500001-65000000	14	64500001	65000000	0.966	1.064	0.966
14:65000001-65500000	14	65000001	65500000	0.962	0.877	0.987
14:65500001-66000000	14	65500001	66000000	0.955	1.065	1.029
14:66000001-66500000	14	66000001	66500000	1.038	1.049	1.15
14:66500001-67000000	14	66500001	67000000	1.026	1.122	1.102
14:67000001-67500000	14	67000001	67500000	0.984	1.029	0.957
14:67500001-68000000	14	67500001	68000000	0.901	0.995	1.028
14:68000001-68500000	14	68000001	68500000	1.011	0.911	0.964
14:68500001-69000000	14	68500001	69000000	0.79	0.915	0.865
14:69000001-69500000	14	69000001	69500000	0.902	0.975	0.965
14:69500001-70000000	14	69500001	70000000	0.923	0.877	0.93
14:70000001-70500000	14	70000001	70500000	1.047	1.028	1.066
14:70500001-71000000	14	70500001	71000000	0.979	0.982	0.932
14:71000001-71500000	14	71000001	71500000	0.94	0.998	0.997
14:71500001-72000000	14	71500001	72000000	0.963	1.056	1.029
14:72000001-72500000	14	72000001	72500000	1.054	0.967	1.017
14:72500001-73000000	14	72500001	73000000	0.99	1.079	0.926
14:73000001-73500000	14	73000001	73500000	0.819	0.979	0.975
14:73500001-74000000	14	73500001	74000000	0.994	0.954	1.033
14:74000001-74500000	14	74000001	74500000	1.036	0.971	1.04
14:74500001-75000000	14	74500001	75000000	0.89	1.034	1.021
14:75000001-75500000	14	75000001	75500000	0.84	0.926	0.915
14:75500001-76000000	14	75500001	76000000	0.998	1.003	0.983
14:76000001-76500000	14	76000001	76500000	0.913	0.871	1.006
14:76500001-77000000	14	76500001	77000000	1.027	0.934	0.951
14:77000001-77500000	14	77000001	77500000	0.751	0.958	0.983
14:77500001-78000000	14	77500001	78000000	0.903	1.023	0.931
14:78000001-78500000	14	78000001	78500000	0.963	0.969	1.028
14:78500001-79000000	14	78500001	79000000	0.978	0.978	1.002
14:79000001-79500000	14	79000001	79500000	0.997	1.05	1.129
14:79500001-80000000	14	79500001	80000000	0.874	1.017	1.087
14:80000001-80500000	14	80000001	80500000	0.993	0.97	1.084
14:80500001-81000000	14	80500001	81000000	1.044	1.023	1.035
14:81000001-81500000	14	81000001	81500000	0.984	0.992	0.96
14:81500001-82000000	14	81500001	82000000	0.989	0.94	1.011
14:82000001-82500000	14	82000001	82500000	1.02	0.893	0.968
14:82500001-83000000	14	82500001	83000000	0.987	1.072	0.954
14:83000001-83500000	14	83000001	83500000	0.914	0.935	0.969
14:84500001-85000000	14	84500001	85000000	0.992	0.904	0.992
14:85000001-85500000	14	85000001	85500000	0.905	1.055	1.133
14:85500001-86000000	14	85500001	86000000	0.99	0.97	0.994
14:86500001-87000000	14	86500001	87000000	0.978	0.985	1.034
14:87000001-87500000	14	87000001	87500000	0.952	1.05	0.974
14:87500001-88000000	14	87500001	88000000	0.935	0.924	0.956
14:88000001-88500000	14	88000001	88500000	1.016	1.035	1.055
14:88500001-89000000	14	88500001	89000000	0.963	1.11	1.026
14:89000001-89500000	14	89000001	89500000	0.967	0.995	1.021
14:89500001-90000000	14	89500001	90000000	0.938	1.061	1.084
14:90000001-90500000	14	90000001	90500000	1	0.98	0.972
14:90500001-91000000	14	90500001	91000000	0.965	1.074	1.003
14:91000001-91500000	14	91000001	91500000	0.883	0.886	1.073
14:91500001-92000000	14	91500001	92000000	0.983	1.03	0.923
14:92000001-92500000	14	92000001	92500000	0.967	0.936	1.059
14:92500001-93000000	14	92500001	93000000	0.992	0.996	1.059
14:93000001-93500000	14	93000001	93500000	0.978	1.027	1.007
14:93500001-94000000	14	93500001	94000000	1.009	1.075	1.055
14:94000001-94500000	14	94000001	94500000	0.976	0.966	1.032
14:94500001-95000000	14	94500001	95000000	0.989	1.009	1.042
14:95000001-95500000	14	95000001	95500000	0.927	1.01	1.012
14:95500001-96000000	14	95500001	96000000	1.078	1.079	1.091
14:96000001-96500000	14	96000001	96500000	0.984	1.033	1.025
14:96500001-97000000	14	96500001	97000000	0.893	1.031	0.985
14:97000001-97500000	14	97000001	97500000	0.887	0.927	1.049
14:97500001-98000000	14	97500001	98000000	1.1	1.056	0.978
14:98000001-98500000	14	98000001	98500000	1.048	1.025	1.052
14:98500001-99000000	14	98500001	99000000	0.945	1.088	0.999
14:99000001-99500000	14	99000001	99500000	1.012	1.011	0.994
14:99500001-100000000	14	99500001	100000000	0.963	0.91	1.026
14:100000001-100500000	14	100000001	100500000	0.961	0.993	0.992
14:100500001-101000000	14	100500001	101000000	0.969	0.956	1.039
14:101000001-101500000	14	101000001	101500000	1.125	1.054	1.062
14:101500001-102000000	14	101500001	102000000	0.973	1.034	1.035
14:102000001-102500000	14	102000001	102500000	0.986	0.962	1.033
14:102500001-103000000	14	102500001	103000000	0.945	0.974	1.01
14:103000001-103500000	14	103000001	103500000	0.969	1.012	0.973
14:103500001-104000000	14	103500001	104000000	1.005	1.003	1.031
14:104000001-104500000	14	104000001	104500000	0.933	1.115	1.036
14:104500001-105000000	14	104500001	105000000	1.02	0.987	1.053
14:105000001-105500000	14	105000001	105500000	1.044	1.07	1.029
15:23500001-24000000	15	23500001	24000000	0.943	1.038	0.999
15:24500001-25000000	15	24500001	25000000	1.036	0.931	0.92
15:25000001-25500000	15	25000001	25500000	0.94	0.941	1.02
15:26000001-26500000	15	26000001	26500000	1.024	0.952	0.908
15:26500001-27000000	15	26500001	27000000	0.919	0.97	0.931
15:27000001-27500000	15	27000001	27500000	0.983	0.981	0.974
15:27500001-28000000	15	27500001	28000000	0.95	0.94	1.001
15:29000001-29500000	15	29000001	29500000	1.06	1.01	0.987
15:29500001-30000000	15	29500001	30000000	1.171	1.01	0.97
15:31000001-31500000	15	31000001	31500000	0.864	0.993	0.903
15:31500001-32000000	15	31500001	32000000	1.016	1.058	1.089
15:33000001-33500000	15	33000001	33500000	0.987	1.073	1.094
15:33500001-34000000	15	33500001	34000000	1.084	1.063	1.017
15:34000001-34500000	15	34000001	34500000	0.949	0.873	0.972
15:35500001-36000000	15	35500001	36000000	0.947	1.055	1.024
15:36000001-36500000	15	36000001	36500000	0.902	0.964	0.989
15:36500001-37000000	15	36500001	37000000	1.03	0.909	1.035
15:37000001-37500000	15	37000001	37500000	0.908	1.018	1.017
15:37500001-38000000	15	37500001	38000000	1.054	1.048	1.132
15:38000001-38500000	15	38000001	38500000	1.052	1.084	1.03
15:38500001-39000000	15	38500001	39000000	1.06	1.007	1.134
15:39000001-39500000	15	39000001	39500000	1.124	0.988	0.948
15:39500001-40000000	15	39500001	40000000	0.962	0.977	1.008
15:40500001-41000000	15	40500001	41000000	1.038	1.015	0.971
15:41500001-42000000	15	41500001	42000000	0.976	0.913	0.928
15:42000001-42500000	15	42000001	42500000	0.975	0.987	1.007
15:42500001-43000000	15	42500001	43000000	0.988	1.083	1.028
15:43000001-43500000	15	43000001	43500000	1.066	0.951	1.044
15:44000001-44500000	15	44000001	44500000	0.984	1.059	1.049
15:45000001-45500000	15	45000001	45500000	1.017	0.988	1.041
15:45500001-46000000	15	45500001	46000000	0.979	0.928	1.08
15:46000001-46500000	15	46000001	46500000	0.985	0.956	1.013
15:46500001-47000000	15	46500001	47000000	1.034	0.983	1.004
15:47000001-47500000	15	47000001	47500000	0.985	0.957	1.011
15:47500001-48000000	15	47500001	48000000	1.055	1.073	1.088
15:48000001-48500000	15	48000001	48500000	1.036	1.096	1.082
15:48500001-49000000	15	48500001	49000000	0.92	0.919	1.01
15:49000001-49500000	15	49000001	49500000	1.078	0.985	0.915
15:49500001-50000000	15	49500001	50000000	1.025	1.009	0.964
15:50000001-50500000	15	50000001	50500000	0.895	0.896	0.93
15:50500001-51000000	15	50500001	51000000	0.942	0.982	0.925
15:51000001-51500000	15	51000001	51500000	1.02	1.089	1.092
15:51500001-52000000	15	51500001	52000000	0.98	1.009	0.962
15:52500001-53000000	15	52500001	53000000	1.002	1.013	1.008
15:53000001-53500000	15	53000001	53500000	1.059	0.98	0.962
15:53500001-54000000	15	53500001	54000000	1.092	0.995	1.073
15:54000001-54500000	15	54000001	54500000	1.016	1.012	1.062
15:55000001-55500000	15	55000001	55500000	0.946	1.038	0.98
15:55500001-56000000	15	55500001	56000000	1.041	0.885	0.986
15:56000001-56500000	15	56000001	56500000	1	1.029	1.024
15:56500001-57000000	15	56500001	57000000	0.993	0.937	0.949
15:57000001-57500000	15	57000001	57500000	0.976	0.987	0.999
15:57500001-58000000	15	57500001	58000000	0.969	1.108	1.036
15:58500001-59000000	15	58500001	59000000	0.902	0.917	1.057
15:59000001-59500000	15	59000001	59500000	1.009	0.871	0.995
15:59500001-60000000	15	59500001	60000000	1.028	0.946	0.959
15:60000001-60500000	15	60000001	60500000	1.031	0.996	1.036
15:60500001-61000000	15	60500001	61000000	1.057	1.051	0.961
15:61000001-61500000	15	61000001	61500000	0.929	1.026	0.988
15:61500001-62000000	15	61500001	62000000	1.044	1.063	1.044
15:62000001-62500000	15	62000001	62500000	1.037	1.008	1.021
15:62500001-63000000	15	62500001	63000000	1.066	0.978	0.97
15:63000001-63500000	15	63000001	63500000	0.98	0.933	0.98
15:63500001-64000000	15	63500001	64000000	0.941	0.923	0.934
15:64000001-64500000	15	64000001	64500000	0.913	0.998	0.918
15:64500001-65000000	15	64500001	65000000	0.921	0.887	1.07
15:65000001-65500000	15	65000001	65500000	0.987	1.009	1.013
15:65500001-66000000	15	65500001	66000000	1.023	1.004	0.99
15:66000001-66500000	15	66000001	66500000	0.997	0.975	1.007
15:66500001-67000000	15	66500001	67000000	1.049	0.949	0.995
15:67500001-68000000	15	67500001	68000000	1.064	0.937	0.933
15:68000001-68500000	15	68000001	68500000	0.994	0.912	0.968
15:68500001-69000000	15	68500001	69000000	0.99	0.986	1.006
15:69000001-69500000	15	69000001	69500000	0.891	1.001	0.976
15:69500001-70000000	15	69500001	70000000	0.958	0.994	1.026
15:70000001-70500000	15	70000001	70500000	0.874	0.946	0.912
15:70500001-71000000	15	70500001	71000000	1.003	1.007	0.938
15:71000001-71500000	15	71000001	71500000	1.014	1.012	1.001
15:71500001-72000000	15	71500001	72000000	1.05	0.936	0.951
15:72000001-72500000	15	72000001	72500000	0.959	0.964	1.007
15:72500001-73000000	15	72500001	73000000	1.005	1.018	1.041
15:73000001-73500000	15	73000001	73500000	1.015	0.932	0.994
15:73500001-74000000	15	73500001	74000000	1.006	0.913	1.021
15:74000001-74500000	15	74000001	74500000	1.117	1.013	1.103
15:74500001-75000000	15	74500001	75000000	0.904	1.046	0.975
15:75500001-76000000	15	75500001	76000000	1.002	0.989	1.064
15:76000001-76500000	15	76000001	76500000	1.006	0.941	1.007
15:76500001-77000000	15	76500001	77000000	0.976	1.021	1.088
15:77000001-77500000	15	77000001	77500000	0.988	1.036	1.055
15:77500001-78000000	15	77500001	78000000	1.147	1.115	1.063
15:78000001-78500000	15	78000001	78500000	0.931	0.906	0.952
15:78500001-79000000	15	78500001	79000000	0.907	1.035	1.029
15:79000001-79500000	15	79000001	79500000	0.993	0.988	1.022
15:79500001-80000000	15	79500001	80000000	0.975	1.018	1.052
15:80000001-80500000	15	80000001	80500000	1.035	1.006	0.913
15:80500001-81000000	15	80500001	81000000	0.968	1.039	1.014
15:81000001-81500000	15	81000001	81500000	0.923	0.918	0.917
15:81500001-82000000	15	81500001	82000000	1.04	1.097	1.046
15:82500001-83000000	15	82500001	83000000	1.127	1.135	1.116
15:83000001-83500000	15	83000001	83500000	0.952	0.971	1.051
15:83500001-84000000	15	83500001	84000000	1.025	1.017	1.059
15:84500001-85000000	15	84500001	85000000	1.011	1.019	1.039
15:85500001-86000000	15	85500001	86000000	0.915	1.002	1.01
15:86000001-86500000	15	86000001	86500000	0.961	1.012	1.069
15:86500001-87000000	15	86500001	87000000	1.016	1.034	0.953
15:87000001-87500000	15	87000001	87500000	0.984	1.03	0.992
15:87500001-88000000	15	87500001	88000000	0.998	1.049	1.034
15:88000001-88500000	15	88000001	88500000	0.994	0.955	1.023
15:88500001-89000000	15	88500001	89000000	1.018	1.135	1.006
15:89000001-89500000	15	89000001	89500000	0.913	0.988	1.007
15:89500001-90000000	15	89500001	90000000	0.896	0.997	0.922
15:90000001-90500000	15	90000001	90500000	0.858	0.946	0.995
15:90500001-91000000	15	90500001	91000000	0.827	0.886	1.059
15:91000001-91500000	15	91000001	91500000	0.875	0.942	1.067
15:92000001-92500000	15	92000001	92500000	0.895	1.033	1.034
15:92500001-93000000	15	92500001	93000000	0.99	0.872	0.945
15:93000001-93500000	15	93000001	93500000	1.043	0.912	1.039
15:93500001-94000000	15	93500001	94000000	1.022	1.079	1.071
15:94000001-94500000	15	94000001	94500000	0.915	1.075	0.921
15:94500001-95000000	15	94500001	95000000	1.064	1.052	0.956
15:95000001-95500000	15	95000001	95500000	0.978	1.002	0.919
15:95500001-96000000	15	95500001	96000000	1.012	1.031	1.027
15:96000001-96500000	15	96000001	96500000	0.892	1.022	0.934
15:96500001-97000000	15	96500001	97000000	0.989	1.048	1.046
15:97000001-97500000	15	97000001	97500000	0.916	1.005	0.985
15:97500001-98000000	15	97500001	98000000	0.998	1.014	0.998
15:98000001-98500000	15	98000001	98500000	0.995	0.966	1.03
15:98500001-99000000	15	98500001	99000000	0.963	0.906	0.992
15:99000001-99500000	15	99000001	99500000	0.906	1.064	1.014
15:99500001-100000000	15	99500001	100000000	0.865	0.921	0.95
15:100000001-100500000	15	100000001	100500000	1.09	0.976	1.012
15:100500001-101000000	15	100500001	101000000	0.969	0.954	0.967
15:101000001-101500000	15	101000001	101500000	0.819	0.917	0.978
16:1-500000	16	1	500000	1.003	1.018	1.051
16:500001-1000000	16	500001	1000000	0.931	0.93	1.037
16:1000001-1500000	16	1000001	1500000	1.015	0.975	1.007
16:1500001-2000000	16	1500001	2000000	0.938	1.034	1.065
16:2000001-2500000	16	2000001	2500000	0.942	1.056	1.083
16:3500001-4000000	16	3500001	4000000	0.984	0.955	1.041
16:4000001-4500000	16	4000001	4500000	1.034	1.064	0.908
16:4500001-5000000	16	4500001	5000000	0.923	0.974	0.97
16:5500001-6000000	16	5500001	6000000	1.077	0.97	1.03
16:6000001-6500000	16	6000001	6500000	0.996	0.998	1.1
16:6500001-7000000	16	6500001	7000000	0.933	0.933	0.988
16:7000001-7500000	16	7000001	7500000	0.995	0.976	1.01
16:7500001-8000000	16	7500001	8000000	0.988	1.082	0.975
16:8000001-8500000	16	8000001	8500000	1.029	0.891	1.023
16:8500001-9000000	16	8500001	9000000	0.971	0.938	0.952
16:9000001-9500000	16	9000001	9500000	0.993	0.916	0.94
16:9500001-10000000	16	9500001	10000000	1.085	1	1.137
16:10000001-10500000	16	10000001	10500000	1.102	0.95	0.965
16:11000001-11500000	16	11000001	11500000	0.938	0.934	1.096
16:11500001-12000000	16	11500001	12000000	0.919	0.915	0.984
16:12000001-12500000	16	12000001	12500000	1.066	1.017	1.16
16:12500001-13000000	16	12500001	13000000	0.999	0.928	1.018
16:13000001-13500000	16	13000001	13500000	1.06	1.08	1.062
16:13500001-14000000	16	13500001	14000000	1.03	1.097	1.042
16:14000001-14500000	16	14000001	14500000	0.937	0.99	1.021
16:15500001-16000000	16	15500001	16000000	0.962	0.949	0.973
16:17000001-17500000	16	17000001	17500000	1.047	0.986	0.983
16:17500001-18000000	16	17500001	18000000	1.049	1.089	1.141
16:19000001-19500000	16	19000001	19500000	0.968	0.937	0.924
16:19500001-20000000	16	19500001	20000000	0.944	0.907	0.959
16:20000001-20500000	16	20000001	20500000	1.043	1.039	0.995
16:22000001-22500000	16	22000001	22500000	1.049	0.963	1.077
16:23000001-23500000	16	23000001	23500000	1.182	0.988	1.018
16:23500001-24000000	16	23500001	24000000	1.03	0.967	1.009
16:24000001-24500000	16	24000001	24500000	0.949	0.966	1.056
16:24500001-25000000	16	24500001	25000000	0.912	1.077	1.087
16:25000001-25500000	16	25000001	25500000	0.863	1.024	1.02
16:25500001-26000000	16	25500001	26000000	0.96	1.013	1.119
16:26000001-26500000	16	26000001	26500000	1.009	0.999	1.05
16:26500001-27000000	16	26500001	27000000	0.987	0.986	1.006
16:27000001-27500000	16	27000001	27500000	1.051	0.959	1.037
16:27500001-28000000	16	27500001	28000000	1.07	1.125	1.083
16:30500001-31000000	16	30500001	31000000	0.872	1.089	0.917
16:31000001-31500000	16	31000001	31500000	1.063	0.987	0.994
16:46500001-47000000	16	46500001	47000000	0.983	0.919	0.965
16:47000001-47500000	16	47000001	47500000	1.124	1.023	1.051
16:47500001-48000000	16	47500001	48000000	1.104	1.007	1.091
16:48000001-48500000	16	48000001	48500000	0.949	1.095	1.1
16:48500001-49000000	16	48500001	49000000	0.986	0.952	0.994
16:49000001-49500000	16	49000001	49500000	1.003	1.039	1.045
16:49500001-50000000	16	49500001	50000000	1.024	1.053	1.047
16:50000001-50500000	16	50000001	50500000	0.928	0.943	0.915
16:50500001-51000000	16	50500001	51000000	0.955	0.991	0.919
16:51000001-51500000	16	51000001	51500000	0.971	1.039	1.064
16:51500001-52000000	16	51500001	52000000	1.025	0.982	1.056
16:52000001-52500000	16	52000001	52500000	1.014	1.018	1.046
16:52500001-53000000	16	52500001	53000000	0.906	0.991	0.967
16:53000001-53500000	16	53000001	53500000	0.86	1.066	0.925
16:53500001-54000000	16	53500001	54000000	0.876	0.935	1.114
16:54000001-54500000	16	54000001	54500000	1.017	0.923	1.053
16:54500001-55000000	16	54500001	55000000	0.986	0.991	1.051
16:55000001-55500000	16	55000001	55500000	0.992	1.003	1.004
16:55500001-56000000	16	55500001	56000000	0.98	0.896	1.011
16:56000001-56500000	16	56000001	56500000	0.964	0.932	1.058
16:56500001-57000000	16	56500001	57000000	0.984	0.992	1.035
16:57000001-57500000	16	57000001	57500000	0.875	0.959	0.961
16:57500001-58000000	16	57500001	58000000	1.014	0.955	0.996
16:58000001-58500000	16	58000001	58500000	0.857	0.934	0.977
16:58500001-59000000	16	58500001	59000000	0.905	0.903	1.127
16:59000001-59500000	16	59000001	59500000	1.033	1.098	0.981
16:59500001-60000000	16	59500001	60000000	1.071	0.953	1.085
16:60500001-61000000	16	60500001	61000000	1.028	1.014	0.981
16:61000001-61500000	16	61000001	61500000	0.913	1	1.003
16:61500001-62000000	16	61500001	62000000	0.996	0.96	1.001
16:62000001-62500000	16	62000001	62500000	1.053	0.928	0.951
16:62500001-63000000	16	62500001	63000000	1.05	1.007	0.993
16:63000001-63500000	16	63000001	63500000	0.99	0.964	0.993
16:63500001-64000000	16	63500001	64000000	0.948	1.022	0.978
16:64000001-64500000	16	64000001	64500000	1.002	1.154	1.04
16:64500001-65000000	16	64500001	65000000	1.067	1.098	1.022
16:65000001-65500000	16	65000001	65500000	1.042	1.132	1.049
16:66000001-66500000	16	66000001	66500000	0.982	0.953	1.01
16:66500001-67000000	16	66500001	67000000	0.993	1.022	0.995
16:67000001-67500000	16	67000001	67500000	0.917	0.869	0.971
16:68000001-68500000	16	68000001	68500000	0.857	1.012	1.019
16:68500001-69000000	16	68500001	69000000	0.98	1.088	1.14
16:69500001-70000000	16	69500001	70000000	1.041	1.101	1.076
16:71500001-72000000	16	71500001	72000000	0.946	0.984	1.065
16:72000001-72500000	16	72000001	72500000	1.011	1.024	1.024
16:72500001-73000000	16	72500001	73000000	0.99	1.08	1.113
16:73500001-74000000	16	73500001	74000000	1.083	1.057	0.962
16:74000001-74500000	16	74000001	74500000	0.987	0.948	1.08
16:74500001-75000000	16	74500001	75000000	0.985	0.905	1.089
16:75000001-75500000	16	75000001	75500000	1.035	1.001	1.036
16:75500001-76000000	16	75500001	76000000	0.947	1.011	1.15
16:76000001-76500000	16	76000001	76500000	1.01	1.025	1.039
16:76500001-77000000	16	76500001	77000000	0.879	0.984	1.013
16:77000001-77500000	16	77000001	77500000	0.955	0.955	1.05
16:77500001-78000000	16	77500001	78000000	1.048	1.056	0.994
16:78000001-78500000	16	78000001	78500000	0.937	0.961	0.958
16:78500001-79000000	16	78500001	79000000	0.93	0.933	0.949
16:79000001-79500000	16	79000001	79500000	1.028	1.076	0.991
16:79500001-80000000	16	79500001	80000000	0.962	0.912	1.001
16:80000001-80500000	16	80000001	80500000	0.995	1.024	1.027
16:80500001-81000000	16	80500001	81000000	0.932	1.102	1.005
16:81000001-81500000	16	81000001	81500000	1.068	0.949	0.976
16:81500001-82000000	16	81500001	82000000	0.925	0.914	0.979
16:82500001-83000000	16	82500001	83000000	0.927	0.961	0.973
16:83000001-83500000	16	83000001	83500000	0.927	1.062	0.968
16:83500001-84000000	16	83500001	84000000	0.945	1.079	1.024
16:84000001-84500000	16	84000001	84500000	1.003	0.976	0.994
16:84500001-85000000	16	84500001	85000000	0.904	0.96	0.916
16:85000001-85500000	16	85000001	85500000	1.023	0.935	0.996
16:85500001-86000000	16	85500001	86000000	0.933	0.97	0.984
16:86000001-86500000	16	86000001	86500000	0.952	0.985	0.952
16:86500001-87000000	16	86500001	87000000	0.982	0.997	1.05
16:87000001-87500000	16	87000001	87500000	0.98	0.844	0.878
16:87500001-88000000	16	87500001	88000000	1.106	1.01	1.058
16:88500001-89000000	16	88500001	89000000	0.93	0.987	1.02
16:89000001-89500000	16	89000001	89500000	0.98	1.031	0.985
16:89500001-90000000	16	89500001	90000000	0.958	0.985	1.102
17:500001-1000000	17	500001	1000000	0.946	1.008	1.094
17:1000001-1500000	17	1000001	1500000	0.987	1.09	1.152
17:1500001-2000000	17	1500001	2000000	0.999	0.94	1.089
17:2000001-2500000	17	2000001	2500000	0.9	0.9	0.88
17:2500001-3000000	17	2500001	3000000	0.963	1.164	0.958
17:3500001-4000000	17	3500001	4000000	1.019	1.025	1.062
17:4000001-4500000	17	4000001	4500000	0.96	0.885	0.919
17:4500001-5000000	17	4500001	5000000	0.877	0.935	1.108
17:5000001-5500000	17	5000001	5500000	1.062	0.884	0.995
17:5500001-6000000	17	5500001	6000000	1.056	0.941	1.094
17:6000001-6500000	17	6000001	6500000	0.918	1.002	1.003
17:6500001-7000000	17	6500001	7000000	1.147	1.074	1.19
17:7000001-7500000	17	7000001	7500000	0.839	1.024	1.029
17:7500001-8000000	17	7500001	8000000	0.869	0.998	0.99
17:8000001-8500000	17	8000001	8500000	0.885	1.137	0.913
17:8500001-9000000	17	8500001	9000000	0.974	0.913	0.95
17:9000001-9500000	17	9000001	9500000	1.059	1.023	1.119
17:9500001-10000000	17	9500001	10000000	1.016	1.028	1.042
17:10000001-10500000	17	10000001	10500000	0.99	0.932	1.01
17:10500001-11000000	17	10500001	11000000	1.107	1.038	1.045
17:11000001-11500000	17	11000001	11500000	0.995	1.026	1.084
17:11500001-12000000	17	11500001	12000000	1.046	1.037	1.023
17:12000001-12500000	17	12000001	12500000	0.925	1.003	1.031
17:12500001-13000000	17	12500001	13000000	1.041	0.946	0.947
17:13000001-13500000	17	13000001	13500000	1.018	0.977	0.997
17:13500001-14000000	17	13500001	14000000	1.036	1.049	1.024
17:14500001-15000000	17	14500001	15000000	0.913	0.929	0.935
17:15000001-15500000	17	15000001	15500000	1.022	1.013	1.067
17:16000001-16500000	17	16000001	16500000	0.901	0.933	0.936
17:17000001-17500000	17	17000001	17500000	0.991	0.976	0.924
